Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Strategic Command,BANNER GROUP LIMITED,S9 1XU,573508,Computer equipment costing below the capitalisation threshold,£461.30,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Strategic Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,573581,Computer equipment costing below the capitalisation threshold,£420.00,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,573581,Computer equipment costing below the capitalisation threshold,£338.88,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Navy Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573511,Computer equipment costing below the capitalisation threshold,£268.80,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Army Command,BANNER GROUP LIMITED,S9 1XU,573508,Computer equipment costing below the capitalisation threshold,£182.72,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,573581,Computer equipment costing below the capitalisation threshold,£181.20,,,
Ministry of Defence,Ministry of Defence,13/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007014,Medical-non hospital treatment,£179.02,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007015,Computer equipment costing below the capitalisation threshold,£157.68,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,573581,Computer equipment costing below the capitalisation threshold,£150.00,,,
Ministry of Defence,Ministry of Defence,13/08/2021,Building maintenance and accommodation stores,Strategic Command,EMERGENT CROWN CONTRACT OFFICE FURNISHINGS LIMITED,HX3 8EF,573546,Building maintenance accommodation inventory,£143.28,,,
Ministry of Defence,Ministry of Defence,13/08/2021,Purchase of inventory and services ,Navy Command,BANNER GROUP LIMITED,S9 1XU,573508,Cost of other material consumed,£136.39,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007014,Line + telephone rental including commercial charge for use of radio frequencies,£134.63,,,
Ministry of Defence,Ministry of Defence,13/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007014,Military short term detached duty,£90.25,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007015,Line + telephone rental including commercial charge for use of radio frequencies,£69.71,,,
Ministry of Defence,Ministry of Defence,13/08/2021,Medical treatment & stores and welfare services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007014,Medical health services,£64.05,,,
Ministry of Defence,Ministry of Defence,13/08/2021,Purchase of inventory and services ,DES Bespoke Trading Entity,CORPORATE DOCUMENT SERVICES  LIMITED,LS11 5AS,573534,Cost of other material consumed,£54.44,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573511,Estate management,£42.83,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Air Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007015,Line + telephone rental including commercial charge for use of radio frequencies,£38.30,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573511,Computer equipment costing below the capitalisation threshold,£18.00,,,
Ministry of Defence,Ministry of Defence,13/08/2021,IT and communication services,Head Office and Corporate Services,AKHTER COMPUTERS LIMITED,CM18 7PN,573511,Computer equipment costing below the capitalisation threshold,£15.60,,,
Ministry of Defence,Ministry of Defence,13/08/2021,Purchase of inventory and services ,Army Command,BANNER GROUP LIMITED,S9 1XU,573508,Cost of other material consumed,£13.50,,,
Ministry of Defence,Ministry of Defence,13/08/2021,"Transportation of personnel, freight and travel expenses",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007014,Movement of service personnel,£6.39,,,
Ministry of Defence,Ministry of Defence,12/08/2021,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,SW1X 7EN,573483,Utilities consumed - electricity,"£6,566,133.33",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,573337,Property dwellings private finance initiative - service concession arrangement service charge,"£3,206,764.95",,,
Ministry of Defence,Ministry of Defence,12/08/2021,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,573233,Defence equipment CLS/IOS service charge,"£1,253,363.44",,,
Ministry of Defence,Ministry of Defence,12/08/2021,General services and support,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000017996,Defence equipment CLS/IOS service charge,"£634,584.35",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,CM2 8HN,573328,Equipment support project costs,"£303,759.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,General services and support,Defence Equipment and Support,KRAUSS-MAFFEI WEGMANN GMBH & CO KG,,6000064123,Defence equipment CLS/IOS service charge,"£264,485.97",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Army Command,ATOS IT SERVICES UK LIMITED,WV10 6UH,573331,Information technology services,"£232,146.76",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Medical treatment & stores and welfare services,Strategic Command,SPIRE HEALTHCARE LIMITED,EC4Y 8EN,573486,Medical health services,"£226,333.19",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Estate management,Army Command,BEAVERFIT LIMITED,SY6 6NJ,573235,Works - estate management,"£211,557.58",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,SUTTON HOUSE LTD,HR1 2J,573340,Equipment support non-project costs,"£188,125.14",,,
Ministry of Defence,Ministry of Defence,12/08/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,CERTAS ENERGY UK LIMITED,WA3 6XG,573245,Raw materials and consumable ground diesel inventory purchased,"£182,389.16",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Defence Equipment and Support,UNISYS LTD,WD3 9AB,573444,Information technology services,"£169,138.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Purchase of buildings and military equipment ,Defence Equipment and Support,BAE SYSTEMS SURFACE SHIPS LIMITED,PO3 5PQ,6000064114,Single use military equipment asset under construction - capital in year addition,"£158,056.79",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Strategic Command,IN PRACTICE SYSTEMS LIMITED,SW8 3QJ,573450,Information technology services,"£155,606.56",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Strategic Command,INFORMATION SERVICES GROUP EUROPE LIMITED,GU2 4HJ,573464,Information technology services,"£148,492.80",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEFENCE ELECTRONIC AND COMPONENTS AGENCY,CH5 2LS,573362,Equipment support non-project costs,"£143,924.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,573383,Post design services which are not capitalised,"£106,342.06",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Spend on Inventory - General,DES Bespoke Trading Entity,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,573383,Spend on Inventory - General,"£95,465.09",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,573426,Computer equipment costing below the capitalisation threshold,"£93,915.72",,,
Ministry of Defence,Ministry of Defence,12/08/2021,General services and support,Air Command,MACHINE TOOL AND ENGINEERING SERVICES LIMITED,PO12 4LJ,573484,Purchase of defence support equipment below capitalisation threshold of £25k.,"£83,271.60",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,LIGHTFOOT DEFENCE LIMITED,PO14 1TY,573370,Equipment support non-project costs,"£81,776.40",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,573233,Equipment support project costs,"£77,595.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Fuel for military use,Army Command,CERTAS ENERGY UK LIMITED,WA3 6XG,573245,Cost of ground diesel fuel consumed,"£67,863.31",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Fuel for military use,Air Command,CERTAS ENERGY UK LIMITED,WA3 6XG,573245,Cost of ground diesel fuel consumed,"£51,153.50",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Purchase of information and communications technology,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,IT + communications asset - in year capital addition,"£44,699.54",,,
Ministry of Defence,Ministry of Defence,12/08/2021,"Transportation of personnel, freight and travel expenses",Defence Equipment and Support,JAMES FISHER EVERARD LIMITED,EC2M 7JH,2000017998,Freight movement costs,"£44,164.11",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,MOTT MACDONALD LTD,BS1 6FL,573267,Fiscal asset under construction - capital in year addition,"£43,399.51",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,KIER CONSTRUCTION LTD,CB25 9PD,573448,Works - estate management,"£37,911.28",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Inventory Accruals,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,573383,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£36,388.42",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MWH UK LTD,WA1 1RN,573315,Works services - excluding United States forces/NATO + married quarters,"£33,949.91",,,
Ministry of Defence,Ministry of Defence,12/08/2021,General services and support,Navy Command,JACOBS U.K. LIMITED,BS34 8SR,573268,Purchase of defence support equipment below capitalisation threshold of £25k.,"£33,000.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,TRANT ENGINEERING LIMITED,SO40 9LT,573488,Fiscal asset under construction - capital in year addition,"£32,544.91",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,ULTRA ELECTRONICS LIMITED,HP10 9UT,573436,Equipment support non-project costs,"£29,698.49",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Externally delivered education and training,Strategic Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,573244,External training - civilian,"£29,308.42",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Estate management,Air Command,SAFESKYS LTD,HP11 1LT,573456,Estate + facilities management services - accommodation inventory + service,"£27,189.40",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000064115,Equipment support project costs,"£26,184.48",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Spend on Inventory - General,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000064115,Spend on Inventory - General,"£25,916.06",,,
Ministry of Defence,Ministry of Defence,12-Aug-21,"Adminstration, claims, compensation and awards",Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007011,Cost of claims/compensation and related expenses against MOD,"£25,299.99",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Spend on Inventory - General,Defence Equipment and Support,AMSAFE BRIDPORT LTD,DT6 3QU,573422,Spend on Inventory - General,"£24,924.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Spend on Inventory - General,Defence Equipment and Support,MARSHALL LAND SYSTEMS LTD,CB5 8RP,573277,Spend on Inventory - General,"£23,444.26",,,
Ministry of Defence,UKHO,12/08/2021,Electricity,Facilities Management,EDF Energy Plc,,2000098339,Electricity,"£23,422.95",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Spend on Inventory - General,Defence Equipment and Support,UNITED TECHNOLOGIES CORPORATION,,2000018000,Spend on Inventory - General,"£23,259.50",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Externally delivered education and training,Strategic Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,573244,External military training ,"£23,188.29",,,
Ministry of Defence,Ministry of Defence,12/08/2021,General services and support,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,573426,Purchase of defence support equipment below capitalisation threshold of £25k.,"£20,073.11",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Fuel for military use,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,WA3 6XG,573245,Cost of ground diesel fuel consumed,"£18,631.80",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Spend on Inventory - General,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,573383,Spend on Inventory - General,"£18,292.73",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,573431,Medical inventory and services excluding the inventory system,"£17,383.76",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Medical treatment & stores and welfare services,Defence Equipment and Support,AAH PHARMACEUTICALS LTD,CV2 2TX,573431,Medical inventory and services excluding the inventory system,"£15,203.12",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Fuel for military use,Defence Equipment and Support,CERTAS ENERGY UK LIMITED,WA3 6XG,573245,Cost of ground diesel fuel consumed,"£14,905.44",,,
Ministry of Defence,Ministry of Defence,12/08/2021,International contributions,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007011,Defence military assistance fund international subscriptions and other payments,"£13,949.03",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Computer equipment costing below the capitalisation threshold,"£13,907.45",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Air Command,BOXXE LIMITED,YO31 7RE,573290,Equipment support non-project costs,"£13,117.93",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Fuel for military use,Navy Command,CERTAS ENERGY UK LIMITED,WA3 6XG,573245,Cost of ground diesel fuel consumed,"£12,438.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Navy Command,BOXXE LIMITED,YO31 7RE,573290,Computer equipment costing below the capitalisation threshold,"£10,190.03",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Army Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,IT Services -internal costs,"£9,493.49",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,ULTRA ELECTRONICS LIMITED,HP10 9UT,573436,Equipment support project costs,"£8,426.17",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Fees for professional services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007011,Fees for professional services excluding legal fees,"£6,783.84",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,DES Bespoke Trading Entity,BOXXE LIMITED,YO31 7RE,573290,Computer equipment costing below the capitalisation threshold,"£6,696.06",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Air Command,BOXXE LIMITED,YO31 7RE,573290,Computer equipment costing below the capitalisation threshold,"£6,013.91",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Army Command,BOXXE LIMITED,YO31 7RE,573290,Computer equipment costing below the capitalisation threshold,"£5,893.84",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Navy Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Computer equipment costing below the capitalisation threshold,"£5,189.71",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,DES Bespoke Trading Entity,BOXXE LIMITED,YO31 7RE,573290,Information technology services,"£4,867.02",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,,14420,Monthly GPC Payment,"£4,000.00",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Inventory Accruals,Defence Equipment and Support,MARSHALL LAND SYSTEMS LTD,CB5 8RP,573277,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£3,594.94",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Strategic Command,QINETIQ LIMITED,GU14 0LX,573275,Equipment support non-project costs,"£3,259.18",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,AMSAFE BRIDPORT LTD,DT6 3QU,573422,Post design services which are not capitalised,"£2,978.35",,,
Ministry of Defence,Ministry of Defence,12/08/2021,"Public relations, including marketing and advertising",Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Public relations services including items such as sales marketing and advertising,"£2,362.50",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Purchase of inventory and services ,Defence Equipment and Support,MARSHALL LAND SYSTEMS LTD,CB5 8RP,573277,Cost of other material consumed,"£1,662.28",,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,573426,Computer equipment costing below the capitalisation threshold,"£1,632.96",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,DEFENCE ELECTRONIC AND COMPONENTS AGENCY,CH5 2LS,573362,Equipment support project costs,"£1,443.06",,,
Ministry of Defence,Ministry of Defence,12/08/2021,Purchase of inventory and services ,Army Command,BOXXE LIMITED,YO31 7RE,573290,Cost of other material consumed,£604.32,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,DES Bespoke Trading Entity,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Computer equipment costing below the capitalisation threshold,£527.76,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007011,Line + telephone rental including commercial charge for use of radio frequencies,£387.83,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,DEFENCE INFRASTRUCTURE ORGANISATION,BOXXE LIMITED,YO31 7RE,573290,Computer equipment costing below the capitalisation threshold,£302.40,,,
Ministry of Defence,Ministry of Defence,12/08/2021,Medical treatment & stores and welfare services,Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Recreational facilities costs in support of social work,£226.97,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Head Office and Corporate Services,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Computer equipment costing below the capitalisation threshold,£226.80,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Strategic Command,BANNER GROUP LIMITED,S9 1XU,573281,Computer equipment costing below the capitalisation threshold,£201.84,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Computer equipment costing below the capitalisation threshold,£176.44,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Strategic Command,AKHTER COMPUTERS LIMITED,CM18 7PN,573284,Computer equipment costing below the capitalisation threshold,£172.80,,,
Ministry of Defence,Ministry of Defence,12/08/2021,Purchase of inventory and services ,Defence Equipment and Support,BANNER GROUP LIMITED,S9 1XU,573281,Cost of other material consumed,£141.15,,,
Ministry of Defence,Ministry of Defence,12/08/2021,IT and communication services,Strategic Command,BOXXE LIMITED,YO31 7RE,573290,Computer equipment costing below the capitalisation threshold,£88.80,,,
Ministry of Defence,Ministry of Defence,11/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000064101,Estate management,"£2,293,995.57",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,572884,Property dwellings private finance initiative - service concession arrangement service charge,"£1,856,064.92",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,2000017990,Equipment support project costs,"£1,308,153.77",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,BOEING DEFENCE U K LTD,BS16 1EJ,572956,Equipment support project costs,"£1,207,416.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,B70 1DA,572952,Estate management,"£825,146.97",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Government Procurement Card,Ministry of Defence,Barclays Bank PLC,,14417,Monthly GPC Payment,"£461,448.01",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,VOLKERSTEVIN LIMITED,PR2 5PE,573100,Fiscal asset under construction - capital in year addition,"£356,968.70",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,MAN ENERGY SOLUTIONS UK LIMITED,SK7 5BP,573035,Equipment support non-project costs,"£324,666.46",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Fuel for military use,Army Command,CERTAS ENERGY UK LIMITED,WA3 6XG,573230,Cost of ground diesel fuel consumed,"£273,519.40",,,
Ministry of Defence,Ministry of Defence,11/08/2021,"Purchase of munitions, other inventory or fuel",Defence Equipment and Support,CERTAS ENERGY UK LIMITED,WA3 6XG,573230,Raw materials and consumable ground diesel inventory purchased,"£266,940.19",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,573051,Estate management,"£176,914.56",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Building maintenance and accommodation stores,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,573119,Works - civil estate,"£172,379.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,IT and communication services,Head Office and Corporate Services,HYPER TALENT SOLUTIONS LTD,SL3 7AE,573123,Information technology services,"£140,730.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Fees for professional services,Head Office and Corporate Services,IBM UNITED KINGDOM LIMITED,SO21 2JN,572962,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"£136,290.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,573054,Equipment support non-project costs,"£116,948.40",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,MARSHALL LAND SYSTEMS LTD,CB5 8RP,573047,Equipment support non-project costs,"£116,642.50",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Air Command,NOVA AEROSPACE LTD,GL7 6BA,573227,Equipment support non-project costs,"£108,520.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Externally delivered education and training,Strategic Command,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B16 6TT,572976,Estate management,"£94,157.25",,,
Ministry of Defence,Ministry of Defence,11/08/2021,IT and communication services,Strategic Command,IN PRACTICE SYSTEMS LIMITED,SW8 3QJ,573110,Information technology services,"£80,000.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,IT and communication services,Army Command,COMPUTACENTER (UK) LIMITED,AL10 9TW,573146,IT Services -internal costs,"£76,923.07",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,573119,Works services - excluding United States forces/NATO + married quarters,"£76,023.54",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,QINETIQ LIMITED,GU14 0LX,572906,Equipment support project costs,"£70,602.00",,,
Ministry of Defence,UKHO,11/08/2021,Rates,Facilities Management,Somerset West and Taunton,,107936475,Rates,"£69,632.00",,,
Ministry of Defence,UKHO,11/08/2021,Project External Costs,ICENC,ForFront,,2000098328,Project External Costs,"£67,725.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Medical treatment & stores and welfare services,Army Command,CENTAUR SERVICES LTD,BA7 7EU,572875,Medical inventory and services excluding the inventory system,"£66,260.05",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Fees for professional services,Army Command,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,572938,Fees for professional services excluding legal fees,"£63,813.98",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Inventory Accruals,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,573086,Contract Expenditure on Capital Spares that are managed by DE+S Inventory Systems.,"£53,713.04",,,
Ministry of Defence,Ministry of Defence,11/08/2021,IT and communication services,Strategic Command,BMT DEFENCE AND SECURITY UK LIMITED,BA2 3DQ,572950,Information technology services,"£52,341.60",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Externally delivered education and training,Strategic Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,573226,External military training ,"£51,488.36",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Fuel for military use,Air Command,CERTAS ENERGY UK LIMITED,WA3 6XG,573230,Cost of ground diesel fuel consumed,"£50,947.00",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Medical treatment & stores and welfare services,Strategic Command,AAH PHARMACEUTICALS LTD,CV2 2TX,572975,Medical inventory and services excluding the inventory system,"£50,782.13",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Fuel for military use,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,WA3 6XG,573230,Cost of ground diesel fuel consumed,"£45,618.50",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,AMEY DEFENCE SERVICES LIMITED,B75 7RL,573119,Fiscal asset under construction - capital in year addition,"£44,827.46",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Design services and minor equipment purchases,Defence Equipment and Support,MARINE & INDUSTRIAL TRANSMISSIONS LTD,ME11 5EE,572890,Equipment support non-project costs,"£43,249.38",,,
Ministry of Defence,Ministry of Defence,11/08/2021,Fuel for military use,Navy Command,CERTAS ENERGY UK LIMITED,WA3 6XG,573230,Cost of ground diesel fuel consumed,"£39,116.05",,,
