Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total,,
Ministry of Defence,Ministry of Defence,27/09/2022,Fees for Prof Services,Head Office and Corporate Services,KPMG LLP,WD17 1DE,648344,Fees for Other Prof Services,"£28,903.00",,
Ministry of Defence,Ministry of Defence,29/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,NUVIA LIMITED,WA3 6AE,648823,Fiscal AUC Capital Additions,"£28,816.52",,
Ministry of Defence,Ministry of Defence,27/09/2022,P+M General Services,Strategic Command,CGI IT UK LIMITED,CF31 9AP,648289,P+M General Services,"£28,521.24",,
Ministry of Defence,Ministry of Defence,23/09/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,WA3 6XG,647886,Heating Oil+Utilities Consumed,"£28,517.07",,
Ministry of Defence,Ministry of Defence,05/09/2022,Telecomms + IT non capital,DEFENCE INFRASTRUCTURE ORGANISATION,SOPRA STERIA LIMITED,HP2 7AH,644640,IT+Comms Rental Payments,"£28,399.96",,
Ministry of Defence,Ministry of Defence,15/09/2022,Rental Payments - Transport,Strategic Command,AGILITY DGS UK LIMITED,RG1 2LG,6000071790,Rental Payments-Transport-Oth,"£28,257.48",,
Ministry of Defence,Ministry of Defence,22/09/2022,Assets under Construction,Strategic Command,ENTERPRISE SERVICES DEFENCE AND SECURITY UK LIMITED,GU11 1PZ,647643,Fiscal AUC Capital Additions,"£28,247.64",,
Ministry of Defence,Ministry of Defence,15/09/2022,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,TETRA TECH MANAGEMENT SERVICES LIMITED,L2 6RE,646246,Fees for Other Prof Services,"£28,187.68",,
Ministry of Defence,Ministry of Defence,15/09/2022,Defence Equip General Services,Air Command,JEPPESEN U.K. LIMITED,RH10 9AD,646570,Defence Equip General Services,"£28,102.79",,
Ministry of Defence,Ministry of Defence,26/09/2022,P+M General Services,Defence Equipment and Support,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,647982,P+M General Services,"£28,090.80",,
Ministry of Defence,UKHO,08/09/2022,Electricity,Facilities Management,EDF Energy Plc,,2000101634,Electricity,"£27,994.64",,
Ministry of Defence,Ministry of Defence,16/09/2022,Telecomms + IT non capital,Army Command,AKHTER COMPUTERS LIMITED,CM19 5QP,646863,IT+Comms Internal Costs,"£27,979.06",,
Ministry of Defence,Ministry of Defence,08/09/2022,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,TETRA TECH MANAGEMENT SERVICES LIMITED,L2 6RE,645110,Fees for Other Prof Services,"£27,730.39",,
Ministry of Defence,Ministry of Defence,23/09/2022,P+M General Services,Defence Equipment and Support,TLMNEXUS LTD,BN1 6AF,647687,P+M General Services,"£27,600.00",,
Ministry of Defence,Ministry of Defence,28/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,648635,Estate+Facilities Mgmnt Servs,"£27,599.97",,
Ministry of Defence,Ministry of Defence,28/09/2022,Fuels Non Utilities Consumed,Navy Command,CERTAS ENERGY UK LIMITED,WA3 6XG,648667,Fuels Non Utilities Consumed,"£27,479.04",,
Ministry of Defence,Ministry of Defence,02/09/2022,Telecomms + IT non capital,Head Office and Corporate Services,ENTERPRISE SERVICES DEFENCE AND SECURITY UK LIMITED,GU11 1PZ,643985,IT+Comms Rental Payments,"£27,443.45",,
Ministry of Defence,Ministry of Defence,05/09/2022,Rental Payments - Buildings,DEFENCE INFRASTRUCTURE ORGANISATION,DEFENCE TRAINING SERVICES LIMITED,BA2 3RH,644518,Prop NonDw SCA Srv Chrg+Off BS,"£27,150.06",,
Ministry of Defence,Ministry of Defence,08/09/2022,Telecomms + IT non capital,Strategic Command,BOXXE LIMITED,YO31 7RE,645098,IT+Comms Internal Costs,"£27,122.69",,
Ministry of Defence,Ministry of Defence,08/09/2022,Fees for Prof Services,DES Bespoke Trading Entity,THE BRITISH COMPUTER SOCIETY,SN1 1BY,645128,Fees for Other Prof Services,"£27,104.40",,
Ministry of Defence,Ministry of Defence,02/09/2022,Telecomms + IT non capital,Strategic Command,QUAST LTD,AL3 4RX,644420,IT+Comms Rental Payments,"£27,072.00",,
Ministry of Defence,Ministry of Defence,14/09/2022,Telecomms + IT non capital,Army Command,AKHTER COMPUTERS LIMITED,CM19 5QP,646131,IT+Comms Internal Costs,"£27,022.95",,
Ministry of Defence,Ministry of Defence,21/09/2022,NCA003-Estates-Eqipment/Works,DIO-SSG,DEN JACKSON SOLUTIONS,NR95SG,PC9681AP06,NCA003,"£26,910.00",,
Ministry of Defence,Ministry of Defence,02/09/2022,External Education + Training,Strategic Command,LEEDS BECKETT UNIVERSITY,LS2 9EN,644389,External Training Mil.,"£26,842.97",,
Ministry of Defence,Ministry of Defence,15/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,ULTRA ELECTRONICS LIMITED,HP10 9UT,646228,CL MonthEnd Accruals Balance,"£26,791.18",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000071780,P+M General Services,"£26,761.72",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Defence Equipment and Support,THALES UK LIMITED,RH10 9HA,645066,P+M General Services,"£26,760.14",,
Ministry of Defence,Ministry of Defence,20/09/2022,Heating Oil+Utilities Consumed,Navy Command,CERTAS ENERGY UK LIMITED,FK5 4RB,646912,Heating Oil+Utilities Consumed,"£26,718.91",,
Ministry of Defence,Ministry of Defence,08/09/2022,Telecomms + IT non capital,Strategic Command,DIGI2AL LIMITED,SE1 9PD,645176,IT+Comms Rental Payments,"£26,628.50",,
Ministry of Defence,Ministry of Defence,29/09/2022,P+M General Services,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,648748,P+M General Services,"£26,582.09",,
Ministry of Defence,Ministry of Defence,14/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,FENN NIGHT VISION LIMITED,GU14 6UU,646034,CL MonthEnd Accruals Balance,"£26,558.40",,
Ministry of Defence,Ministry of Defence,15/09/2022,Telecomms + IT non capital,Defence Equipment and Support,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,646338,IT+Comms Rental Payments,"£26,460.00",,
Ministry of Defence,Ministry of Defence,22/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,647567,CL MonthEnd Accruals Balance,"£26,381.76",,
Ministry of Defence,Ministry of Defence,26/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,FORBO FLOORING UK LIMITED,DE5 3NT,648031,CL MonthEnd Accruals Balance,"£26,346.43",,
Ministry of Defence,UKHO,23/09/2022,Project External Costs,Transformation,Pilot Works Ltd,,2000101760,Project External Costs,"£26,300.00",,
Ministry of Defence,Ministry of Defence,05/09/2022,External Education + Training,Army Command,HIGHFIELD AWARDING BODY FOR COMPLIANCE LIMITED,DN4 5JQ,644734,External Training Mil.,"£26,120.00",,
Ministry of Defence,Ministry of Defence,13/09/2022,P+M General Services,Strategic Command,CGI IT UK LIMITED,CF31 9AP,645938,P+M General Services,"£26,113.50",,
Ministry of Defence,UKHO,01/09/2022,Purchased Services,"Products, Services & Strategy",University of Newcastle-upon-Tyne,,2000101566,Purchased Services,"£26,109.75",,
Ministry of Defence,Ministry of Defence,08/09/2022,Fuels Non Utilities Consumed,Army Command,CERTAS ENERGY UK LIMITED,FK5 4RB,645198,Fuels Non Utilities Consumed,"£26,030.23",,
Ministry of Defence,Ministry of Defence,27/09/2022,Fuels Non Utilities Consumed,Air Command,CERTAS ENERGY UK LIMITED,FK5 4RB,648408,Fuels Non Utilities Consumed,"£25,995.00",,
Ministry of Defence,Ministry of Defence,06/09/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,WA3 6XG,644778,Heating Oil+Utilities Consumed,"£25,949.28",,
Ministry of Defence,Ministry of Defence,21/09/2022,Telecomms + IT non capital,Strategic Command,GREEN PARK INTERIM & EXECUTIVE LIMITED,SW1P 1BX,647239,IT+Comms Rental Payments,"£25,920.00",,
Ministry of Defence,Ministry of Defence,20/09/2022,Telecomms + IT non capital,Head Office and Corporate Services,BOXXE LIMITED,YO31 7RE,646908,IT+Comms Internal Costs,"£25,881.12",,
Ministry of Defence,Ministry of Defence,22/09/2022,External Education + Training,Strategic Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,647631,External Training Civ.,"£25,872.99",,
Ministry of Defence,Ministry of Defence,23/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,647723,CL MonthEnd Accruals Balance,"£25,753.35",,
Ministry of Defence,Ministry of Defence,15/09/2022,Telecomms + IT non capital,Strategic Command,i3Works Ltd,G74 4JW,646590,IT+Comms Rental Payments,"£25,740.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,Transportation + Movement,Defence Equipment and Support,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE SERVICES,MK19 7BH,300008060,Transport + Movement Freight,"£25,732.87",,
Ministry of Defence,Ministry of Defence,15/09/2022,External Education + Training,Army Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,646374,External Training Civ.,"£25,707.68",,
Ministry of Defence,Ministry of Defence,08/09/2022,Telecomms + IT non capital,Army Command,BOXXE LIMITED,YO31 7RE,645098,IT+Comms Internal Costs,"£25,702.89",,
Ministry of Defence,Ministry of Defence,23/09/2022,Assets under Construction,Strategic Command,INSIGHT DIRECT (U K) LTD,S9 2BU,647761,Fiscal AUC Capital Additions,"£25,659.50",,
Ministry of Defence,DECA,12/09/2022,DECA - Prev Business Stream 3,Accruals,Barclays Bank plc/Barclays Payments,NN4 7SG,ALB004,GPC Spend Aug/Sept 22,"£25,523.81",,
Ministry of Defence,Ministry of Defence,29/09/2022,P+M General Services,Strategic Command,BABCOCK COMMUNICATIONS LIMITED,PL1 4SG,648838,P+M General Services,"£25,485.47",,
Ministry of Defence,Ministry of Defence,05/09/2022,Fees for Prof Services,Strategic Command,GLOBAL RESOURCING LTD,AL5 4US,644587,PSS Other Tech Support Exc R+D,"£25,445.90",,
Ministry of Defence,Ministry of Defence,12/09/2022,P+M General Services,Navy Command,PERKINELMER LAS (U K) LTD,HP9 2FX,645640,P+M General Services,"£25,348.53",,
Ministry of Defence,Ministry of Defence,27/09/2022,Buildings Maintenance,DEFENCE INFRASTRUCTURE ORGANISATION,EMERGENT CROWN CONTRACT OFFICE FURNISHINGS LIMITED,HX3 8EF,648222,Buildings Maintenance,"£25,332.23",,
Ministry of Defence,Ministry of Defence,01/09/2022,Fees for Prof Services,Defence Nuclear Organisation,"DEPARTMENT FOR BUSINESS, ENERGY & INDUSTRIAL STRATEGY",NP10 8QQ,643748,Fees for Other Prof Services,"£25,321.00",,
Ministry of Defence,Ministry of Defence,23/09/2022,Telecomms + IT non capital,Strategic Command,AKHTER COMPUTERS LIMITED,CM19 5QP,647703,IT+Comms Rental Payments,"£25,320.00",,
Ministry of Defence,Ministry of Defence,22/09/2022,Telecomms + IT non capital,Air Command,BINARY VISION LIMITED,WC1X 0DS,647658,IT+Comms Rental Payments,"£25,256.00",,
Ministry of Defence,Ministry of Defence,28/09/2022,Telecomms + IT non capital,Air Command,BOXXE LIMITED,YO31 7RE,648708,IT+Comms Internal Costs,"£25,246.49",,
Ministry of Defence,Ministry of Defence,13/09/2022,P+M General Services,Defence Equipment and Support,ALLAN WEBB LTD,GL10 3RF,645858,P+M General Services,"£25,233.47",,
Ministry of Defence,Ministry of Defence,15/09/2022,Buildings Maintenance,DEFENCE INFRASTRUCTURE ORGANISATION,EMERGENT CROWN CONTRACT OFFICE FURNISHINGS LIMITED,HX3 8EF,646255,Buildings Maintenance,"£25,209.55",,
Ministry of Defence,Ministry of Defence,06/09/2022,Telecomms + IT non capital,Strategic Command,TECHNICAL INFORMATION SYSTEMS LIMITED,BS482QF,644874,IT+Comms Rental Payments,"£25,200.00",,
Ministry of Defence,Ministry of Defence,14/09/2022,Telecomms + IT non capital,Strategic Command,TECHNICAL INFORMATION SYSTEMS LIMITED,BS482QF,646113,IT+Comms Rental Payments,"£25,200.00",,
Ministry of Defence,Ministry of Defence,20/09/2022,Fuels Non Utilities Consumed,Defence Equipment and Support,CERTAS ENERGY UK LIMITED,WA3 6XG,646930,Fuels Non Utilities Consumed,"£25,116.44",,
Ministry of Defence,Ministry of Defence,01/09/2022,Research+Development Expend,Strategic Command,KINGS COLLEGE LONDON BUSINESS LIMITED,WC2 2LS,643859,Research+Development Expend,"£25,068.00",,
Ministry of Defence,Ministry of Defence,28/09/2022,Research+Development Expend,Strategic Command,KINGS COLLEGE LONDON BUSINESS LIMITED,WC2 2LS,648564,Research+Development Expend,"£25,068.00",,
Ministry of Defence,Ministry of Defence,26/09/2022,External Education + Training,Head Office and Corporate Services,KPMG LLP,WD17 1DE,647997,External Training Civ.,"£25,058.77",,
Ministry of Defence,Ministry of Defence,01/09/2022,Fuels Non Utilities Consumed,Army Command,LCC GROUP LIMITED,BT80 9XD,20073,Fuels Non Utilities Consumed,"£24,972.00",,
Ministry of Defence,Ministry of Defence,26/09/2022,P+M General Services,Defence Equipment and Support,MAN ENERGY SOLUTIONS UK LIMITED,SK7 5BP,648004,P+M General Services,"£24,822.12",,
Ministry of Defence,Ministry of Defence,05/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,KETECH DEFENCE LTD,NG8 4GU,644618,CL MonthEnd Accruals Balance,"£24,772.80",,
Ministry of Defence,Ministry of Defence,12/09/2022,Transportation + Movement,Head Office and Corporate Services,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,645691,Military Detached Duty,"£24,762.40",,
Ministry of Defence,Ministry of Defence,27/09/2022,Raw Materials + Consumables,Air Command,HARVEST ENERGY AVIATION LIMITED,KT13 0TI,648383,RMC Oil Fuel & Lubricants,"£24,739.19",,
Ministry of Defence,Ministry of Defence,23/09/2022,P+M General Services,Defence Equipment and Support,JFD LIMITED,AB32 6TQ,647887,P+M General Services,"£24,613.80",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Strategic Command,MITIE (DEFENCE) LIMITED,B70 1DA,645055,P+M General Services,"£24,600.25",,
Ministry of Defence,UKHO,23/09/2022,Project External Costs,Transformation,White Spruce Ltd,,2000101758,Project External Costs,"£24,500.00",,
Ministry of Defence,Ministry of Defence,26/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,VIVO DEFENCE SERVICES LIMITED,NE12 8EX,647973,Estate+Facilities Mgmnt Servs,"£24,338.22",,
Ministry of Defence,Ministry of Defence,05/09/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,FK5 4RB,644538,Heating Oil+Utilities Consumed,"£24,267.76",,
Ministry of Defence,Ministry of Defence,02/09/2022,Rental Payments - Transport,Army Command,BABCOCK LAND DEFENCE LIMITED,SP11 8HT,6000071596,Rental Payments-Transport-Oth,"£24,259.81",,
Ministry of Defence,Ministry of Defence,05/09/2022,Fuels Non Utilities Consumed,Air Command,YOUR NRG LTD,TS25 1PW,644666,Fuels Non Utilities Consumed,"£24,186.96",,
Ministry of Defence,Ministry of Defence,28/09/2022,Telecomms + IT non capital,DES Bespoke Trading Entity,AKHTER COMPUTERS LIMITED,CM19 5QP,648577,IT+Comms Rental Payments,"£24,135.98",,
Ministry of Defence,Ministry of Defence,29/09/2022,P+M General Services,Defence Equipment and Support,SURVITEC GROUP LIMITED,CH41 1HQ,648974,P+M General Services,"£23,976.00",,
Ministry of Defence,Ministry of Defence,02/09/2022,Transportation + Movement,Head Office and Corporate Services,RAIL SETTLEMENT PLAN LIMITED,NG9 1ND,644161,Military Detached Duty,"£23,961.80",,
Ministry of Defence,Ministry of Defence,26/09/2022,Transportation + Movement,Head Office and Corporate Services,DENNIS CARTER (GLOBAL) LTD,NW8 8NB,648033,Transport+Movement Personnel,"£23,955.30",,
Ministry of Defence,Ministry of Defence,05/09/2022,Telecomms + IT non capital,Air Command,BOXXE LIMITED,YO31 7RE,644673,IT+Comms Internal Costs,"£23,943.13",,
Ministry of Defence,Ministry of Defence,15/09/2022,Fees for Prof Services,Strategic Command,AMETHYST RISK MANAGEMENT LIMITED,RG23 8PX,646499,Fees for Other Prof Services,"£23,880.00",,
Ministry of Defence,Ministry of Defence,26/09/2022,P+M General Services,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648020,P+M General Services,"£23,847.06",,
Ministry of Defence,Ministry of Defence,21/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,AIRBUS HELICOPTERS UK LIMITED,OX5 1QZ,6000071844,CL MonthEnd Accruals Balance,"£23,818.83",,
Ministry of Defence,Ministry of Defence,29/09/2022,Telecomms + IT non capital,Navy Command,GALTEC SOLUTIONS LIMITED,LS18 4DF,648740,IT+Comms Internal Costs,"£23,816.14",,
Ministry of Defence,Ministry of Defence,08/09/2022,Telecomms + IT non capital,Army Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,645150,IT+Comms Internal Costs,"£23,722.19",,
Ministry of Defence,Ministry of Defence,20/09/2022,Fuels Non Utilities Consumed,Army Command,HARVEST ENERGY AVIATION LIMITED,KT13 0TJ,2000020940,Aviation Fuel Consumed,"£23,662.57",,
Ministry of Defence,Ministry of Defence,15/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,PERFECT CIRCLE JV LTD,LE1 1HA,646270,Fiscal AUC Capital Additions,"£23,612.82",,
Ministry of Defence,Ministry of Defence,07/09/2022,Telecomms + IT non capital,Army Command,ENTSERV UK LIMITED,GU11 1PZ,645008,IT+Comms Rental Payments,"£23,500.63",,
Ministry of Defence,Ministry of Defence,29/09/2022,Fees for Prof Services,Head Office and Corporate Services,RAND EUROPE COMMUNITY INTEREST COMPANY,CB4 1YG,648848,Fees for Other Prof Services,"£23,113.86",,
Ministry of Defence,Ministry of Defence,09/09/2022,P+M General Services,Air Command,CAPITA BUSINESS SERVICES LTD,EC4A 1EN,645516,P+M General Services,"£22,961.20",,
Ministry of Defence,Ministry of Defence,02/09/2022,P+M General Services,Defence Equipment and Support,HELMET INTEGRATED SYSTEMS LTD,SG6 2TU,644108,P+M General Services,"£22,922.86",,
Ministry of Defence,Ministry of Defence,28/09/2022,Food + Clothing Consumed,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,648704,Food + Clothing Consumed,"£22,866.56",,
Ministry of Defence,Ministry of Defence,29/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,648876,Estate+Facilities Mgmnt Servs,"£22,776.56",,
Ministry of Defence,Ministry of Defence,06/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,IRVINGQ LIMITED,CF32 8PL,644944,CL MonthEnd Accruals Balance,"£22,771.20",,
Ministry of Defence,Ministry of Defence,07/09/2022,Telecomms + IT non capital,Army Command,ALBANY BECK CONSULTANCY SERVICES LTD,HP4 2DF,644977,IT+Comms Rental Payments,"£22,620.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,Assets under Construction,Strategic Command,BAE SYSTEMS (OPERATIONS) LIMITED,BH23 4JE,646390,Fiscal AUC Capital Additions,"£22,603.20",,
Ministry of Defence,Ministry of Defence,23/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE LIMITED,SE1 9SG,647786,Estate+Facilities Mgmnt Servs,"£22,538.16",,
Ministry of Defence,Ministry of Defence,29/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,648819,CL MonthEnd Accruals Balance,"£22,515.62",,
Ministry of Defence,Ministry of Defence,16/09/2022,Transportation + Movement,Head Office and Corporate Services,DENNIS CARTER (GLOBAL) LTD,NW8 8NB,646687,Transport+Movement Personnel,"£22,400.30",,
Ministry of Defence,Ministry of Defence,06/09/2022,Estate+Facilities Mgmnt Servs,DES Bespoke Trading Entity,SEVERN TRENT SERVICES DEFENCE LIMITED,CV3 9NT,644766,Estate+Facilities Mgmnt Servs,"£22,376.68",,
Ministry of Defence,Ministry of Defence,26/09/2022,Telecomms + IT non capital,Army Command,AKHTER COMPUTERS LIMITED,CM19 5QP,647999,IT+Comms Internal Costs,"£22,319.29",,
Ministry of Defence,Ministry of Defence,06/09/2022,Fees for Prof Services,Army Command,EUROFINS FORENSIC SERVICES LIMITED,TW11 0LY,644790,Fees for Other Prof Services,"£22,291.83",,
Ministry of Defence,Ministry of Defence,12/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,645613,CL MonthEnd Accruals Balance,"£22,244.11",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Defence Equipment and Support,"LEIDOS EUROPE, LIMITED",BS16 7FH,646389,P+M General Services,"£22,210.61",,
Ministry of Defence,Ministry of Defence,02/09/2022,P+M General Services,Strategic Command,CDW LIMITED,EC4M 7RB,644359,P+M General Services,"£22,171.68",,
Ministry of Defence,Ministry of Defence,13/09/2022,Fees for Prof Services,DEFENCE INFRASTRUCTURE ORGANISATION,CARTER JONAS LLP,OX2 7DE,645941,Fees for Other Prof Services,"£22,125.00",,
Ministry of Defence,Ministry of Defence,06/09/2022,Telecomms + IT non capital,Head Office and Corporate Services,BOURNE VALLEY SYSTEMS LTD,SP11 6DT,644915,IT+Comms Rental Payments,"£22,080.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,P+M General Services,Strategic Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,646223,P+M General Services,"£21,848.40",,
Ministry of Defence,Ministry of Defence,05/09/2022,Telecomms + IT non capital,Defence Equipment and Support,FUJITSU SERVICES LIMITED,EC2A 1SL,644726,IT+Comms Rental Payments,"£21,845.18",,
Ministry of Defence,Ministry of Defence,20/09/2022,Telecomms + IT non capital,Air Command,MONITOR INTELLIGENCE SERVICES LTD,SN5 6QR,647092,IT+Comms Rental Payments,"£21,718.83",,
Ministry of Defence,Royal Hospital Chelsea,23.09.2022,Purchased Services,Royal Hospital Chelsea,EDF Energy,DA6 8ET,PIN136964,Electricity,"£21,690.64",,
Ministry of Defence,Ministry of Defence,02/09/2022,Rental Payments - Transport,Strategic Command,ANDREAS PETSAS & SONS PUBLIC LTD,,6000071587,Rental Payments-Transport-Oth,"£21,516.98",,
Ministry of Defence,Ministry of Defence,14/09/2022,Telecomms + IT non capital,Navy Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,646203,IT+Comms Internal Costs,"£21,414.96",,
Ministry of Defence,Ministry of Defence,06/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,MEL AVIATION LTD,CO10 2YW,644828,CL MonthEnd Accruals Balance,"£21,370.21",,
Ministry of Defence,Ministry of Defence,01/09/2022,Capital Spares,Defence Equipment and Support,SYSTEMS ENGINEERING & ASSESSMENT LTD,BA11 6TB,643898,CS Engineering + Technical,"£21,321.33",,
Ministry of Defence,Ministry of Defence,27/09/2022,Capital Spares,Defence Equipment and Support,SYSTEMS ENGINEERING & ASSESSMENT LTD,BA11 6TB,648357,CS Engineering + Technical,"£21,321.33",,
Ministry of Defence,Ministry of Defence,23/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,KIER CONSTRUCTION LTD,PL6 5DH,647766,Estate+Facilities Mgmnt Servs,"£21,291.11",,
Ministry of Defence,Ministry of Defence,21/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,SMITHS DETECTION-WATFORD LIMITED,WD23 2BW,647318,CL MonthEnd Accruals Balance,"£21,280.44",,
Ministry of Defence,Ministry of Defence,28/09/2022,P+M General Services,Defence Nuclear Organisation,HALE HAMILTON (VALVES) LTD,UB8 2AF,648495,P+M General Services,"£21,185.97",,
Ministry of Defence,Ministry of Defence,20/09/2022,P+M General Services,Strategic Command,BABCOCK COMMUNICATIONS LIMITED,PL1 4SG,647036,P+M General Services,"£21,088.00",,
Ministry of Defence,Ministry of Defence,27/09/2022,Estate+Facilities Mgmnt Servs,Navy Command,FALCON SUPPORT SERVICES LIMITED,M1 4HB,648228,Estate+Facilities Mgmnt Servs,"£21,068.63",,
Ministry of Defence,Ministry of Defence,15/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,BABCOCK INTEGRATED TECHNOLOGY  LIMITED,BS3 2HQ,646314,CL MonthEnd Accruals Balance,"£21,056.23",,
Ministry of Defence,Ministry of Defence,28/09/2022,PR Costs,Air Command,KPMG LLP,WD17 1DE,648549,PR Costs,"£21,003.00",,
Ministry of Defence,Ministry of Defence,15/09/2022,Other Materiel Consumed,Defence Equipment and Support,KELLOGG BROWN & ROOT LIMITED,KT22 7NL,646311,Other Materiel Consumed,"£20,891.64",,
Ministry of Defence,Ministry of Defence,15/09/2022,Estate+Facilities Mgmnt Servs,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U.K.) LIMITED,B45 9PZ,646370,Estate+Facilities Mgmnt Servs,"£20,745.06",,
Ministry of Defence,Ministry of Defence,02/09/2022,Telecomms + IT non capital,Army Command,AKHTER COMPUTERS LIMITED,CM19 5QP,643968,IT+Comms Internal Costs,"£20,624.70",,
Ministry of Defence,Ministry of Defence,01/09/2022,Assets under Construction,DEFENCE INFRASTRUCTURE ORGANISATION,MITIE (DEFENCE) LIMITED,BS32 4NH,6000071565,Fiscal AUC Capital Additions,"£20,567.60",,
Ministry of Defence,Ministry of Defence,16/09/2022,Heating Oil+Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,FK5 4RB,646629,Heating Oil+Utilities Consumed,"£20,483.46",,
Ministry of Defence,Ministry of Defence,27/09/2022,Fuels Non Utilities Consumed,DEFENCE INFRASTRUCTURE ORGANISATION,CERTAS ENERGY UK LIMITED,WA3 6XG,648409,Fuels Non Utilities Consumed,"£20,483.24",,
Ministry of Defence,Ministry of Defence,28/09/2022,Telecomms + IT non capital,Strategic Command,INSIGHT DIRECT (U K) LTD,S9 2BU,648624,IT+Comms Internal Costs,"£20,445.07",,
Ministry of Defence,Ministry of Defence,26/09/2022,External Education + Training,DES Bespoke Trading Entity,KPMG LLP,WD17 1DE,647997,External Training Civ.,"£20,317.97",,
Ministry of Defence,Ministry of Defence,07/09/2022,P+M General Services,Strategic Command,AKHTER COMPUTERS LIMITED,CM19 5QP,645019,P+M General Services,"£20,220.00",,
Ministry of Defence,Ministry of Defence,12/09/2022,P+M General Services,Defence Equipment and Support,SERCO LIMITED,RG27 9UY,645692,P+M General Services,"£20,185.16",,
Ministry of Defence,Ministry of Defence,01/09/2022,CL MonthEnd Accruals Balance,Defence Equipment and Support,QUARTZELEC LIMITED,CV23 0WB,643779,CL MonthEnd Accruals Balance,"£20,178.00",,
Ministry of Defence,Ministry of Defence,02/09/2022,External Education + Training,Head Office and Corporate Services,KPMG LLP,WD17 1DE,644194,External Training Civ.,"£20,012.08",,
Ministry of Defence,Ministry of Defence,29/09/2022,Telecomms + IT non capital,Air Command,BOXXE LIMITED,YO31 7RE,648718,IT+Comms Internal Costs,"£19,970.29",,
