Unique Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
July Tranparency 274,12/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£111,695"
July Tranparency 275,28/07/2021,DIG BASELINE RUN - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£111,536"
July Tranparency 276,13/07/2021,P&C DIGITAL PROFESSIONAL L&D BUDGET,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,PLURALSIGHT LLC,"£111,200"
July Tranparency 277,14/07/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,PIXEL GROUP LTD,"£111,173"
July Tranparency 278,27/07/2021,DWP CHG DWP RE-IMAGINE WPM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£110,095"
July Tranparency 279,29/07/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UK LTD,"£109,568"
July Tranparency 280,29/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£109,340"
July Tranparency 281,21/07/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£108,974"
July Tranparency 282,14/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICES,"£108,452"
July Tranparency 283,13/07/2021,FG ESRM ENTERPRISE SECURITY AND RISK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NCC GROUP SECURITY SERVICES LTD,"£107,544"
July Tranparency 284,29/07/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM UNITED KINGDOM LTD,"£106,896"
July Tranparency 285,14/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£106,307"
July Tranparency 286,14/07/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SAS SOFTWARE LTD,"£106,245"
July Tranparency 287,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£105,775"
July Tranparency 288,05/07/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£105,100"
July Tranparency 289,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LIFT TRIALS,"£104,610"
July Tranparency 290,29/07/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£104,206"
July Tranparency 291,07/07/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BJSS LTD,"£103,736"
July Tranparency 292,27/07/2021,CHG REDUCING PARENTAL CONFLICT - CHES CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,TAVISTOCK RELATIONSHIPS,"£103,591"
July Tranparency 293,30/07/2021,CHG UKSPF,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£103,451"
July Tranparency 294,22/07/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£103,074"
July Tranparency 295,29/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,FOLKESTONE CLLD PROGRAMME,"£102,931"
July Tranparency 296,01/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£102,752"
July Tranparency 297,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£102,485"
July Tranparency 298,08/07/2021,DIG COMPLEX DELIVERY,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTCAT PLC,"£101,574"
July Tranparency 299,21/07/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BJSS LTD,"£100,795"
July Tranparency 300,08/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£100,588"
July Tranparency 301,09/07/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£100,381"
July Tranparency 302,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SKILLS FOR GROWTH CHESHIRE AND WARRINGTON,"£100,374"
July Tranparency 303,14/07/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£100,183"
July Tranparency 304,14/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£99,451"
July Tranparency 305,01/07/2021,DIG WA MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£99,243"
July Tranparency 306,30/07/2021,DIG STB FUNDED DLA CHILD - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£98,627"
July Tranparency 307,14/07/2021,DIG IOS-09 OPERATIONS SERVICE FORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM LTD,"£98,262"
July Tranparency 308,07/07/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,SOFTWAREONE UK LTD,"£98,202"
July Tranparency 309,12/07/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£98,136"
July Tranparency 310,21/07/2021,DIG CHILDREN  - COMMON PLATFORMS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£97,789"
July Tranparency 311,23/07/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,VOCALINK,"£97,775"
July Tranparency 312,13/07/2021,DIG CSO-01 SSTRATEGIC SECURITY OPERATIONS CENTRE (SSOC),EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,AKAMAI TECHNOLOGIES,"£97,695"
July Tranparency 313,23/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SOLENT APPRENTICESHIP HUB,"£97,521"
July Tranparency 314,05/07/2021,DIG CSO-01 SSTRATEGIC SECURITY OPERATIONS CENTRE (SSOC),EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,AKAMAI TECHNOLOGIES,"£97,177"
July Tranparency 315,14/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£96,086"
July Tranparency 316,08/07/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - PURCHASE OF GOODS/SERVICES - HOSTING,MODIS INTERNATIONAL LTD,"£95,880"
July Tranparency 317,07/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£94,858"
July Tranparency 318,20/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£94,610"
July Tranparency 319,14/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£94,530"
July Tranparency 320,05/07/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£94,132"
July Tranparency 321,28/07/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£94,073"
July Tranparency 322,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THE BIG LOTTERY FUND,"£93,665"
July Tranparency 323,09/07/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,MANNING GOTTLIEB OMD,"£93,014"
July Tranparency 324,23/07/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£92,695"
July Tranparency 325,30/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£92,497"
July Tranparency 326,28/07/2021,DIG COO UNITY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PRICEWATERHOUSE COOPERS LLP,"£91,590"
July Tranparency 327,19/07/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,SCRUMCONNECT LTD,"£91,080"
July Tranparency 328,26/07/2021,CHG REDUCING PARENTAL CONFLICT - CHES CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,TAVISTOCK RELATIONSHIPS,"£90,942"
July Tranparency 329,28/07/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£90,912"
July Tranparency 330,05/07/2021,DIG - LEGACY SUPPORT DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£90,000"
July Tranparency 331,28/07/2021,DIG - LEGACY SUPPORT DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£90,000"
July Tranparency 332,01/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£89,338"
July Tranparency 333,14/07/2021,DIG MODERNISING DISSATISFACTION - ACCELERATION DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM LTD,"£89,145"
July Tranparency 334,30/07/2021,DIG STB FUNDED ACCESS TO WORK - HEALTH & DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£89,090"
July Tranparency 335,13/07/2021,DIG MAINTENANCE - HEALTH AND DISABILITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SQC TECHNOLOGY LTD,"£89,040"
July Tranparency 336,05/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TARGET APPRENTICESHIPS,"£87,942"
July Tranparency 337,14/07/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£87,930"
July Tranparency 338,28/07/2021,FG CD REPROGRAPHICS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£87,331"
July Tranparency 339,20/07/2021,OPS CFC DEBT INVESTMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,INDESSER,"£87,197"
July Tranparency 340,07/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£86,630"
July Tranparency 341,05/07/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£86,608"
July Tranparency 342,28/07/2021,CHG CONTRACTED EMPLOYMENT PROVISION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£86,246"
July Tranparency 343,27/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SOLENT APPRENTICESHIP HUB,"£85,483"
July Tranparency 344,19/07/2021,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,IXION HOLDINGS CONTRACTS LTD,"£85,471"
July Tranparency 345,29/07/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£85,439"
July Tranparency 346,30/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,KIER CONSTRUCTION LTD,"£85,320"
July Tranparency 347,19/07/2021,EP CEP PHASE 2 NEA NB CPA05 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,IXION HOLDINGS CONTRACTS LTD,"£84,579"
July Tranparency 348,07/07/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£83,845"
July Tranparency 349,05/07/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£83,712"
July Tranparency 350,05/07/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£83,712"
July Tranparency 351,05/07/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£83,712"
July Tranparency 352,05/07/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£83,712"
July Tranparency 353,09/07/2021,DIG DG COO E CASE AND MANAGEMENT INFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,FIVIUM LTD,"£83,257"
July Tranparency 354,30/07/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,KIER CONSTRUCTION LTD,"£83,252"
July Tranparency 355,26/07/2021,DIG INTELLIGENT AUTOMATION GARAGE MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£82,973"
July Tranparency 356,12/07/2021,DIG NIST ADAPTIVE SECURITY DELIVERY LEADERSHIP DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REPHLEX NETWORKS LTD,"£82,911"
July Tranparency 357,21/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£82,905"
July Tranparency 358,28/07/2021,FG CD ESTATES OTHER COSTS DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£81,993"
July Tranparency 359,09/07/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,AMAZON WEB SERVICES EMEA SARL,"£81,622"
July Tranparency 360,22/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STEP UP ESF,"£81,230"
July Tranparency 361,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LINK CUMBRIA ESF,"£81,056"
July Tranparency 362,08/07/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,BT GLOBAL SERVICE SOLUTIONS,"£80,933"
July Tranparency 363,30/07/2021,DIG LM CASELOAD MANAGEMENT ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£80,615"
July Tranparency 364,22/07/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£80,271"
July Tranparency 365,22/07/2021,FG CS HS PIP LOT 1,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP F2F ASSESSMENTS,ATOS IT SERVICES UK LTD TRADING AS INDEPENDENT ASSESSMENT SERVICES,"£79,864"
July Tranparency 366,15/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£79,500"
July Tranparency 367,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£79,500"
July Tranparency 368,13/07/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,MAMIRIAL GROUP DIGITAL TRANSACTION MANAGEMENT,"£78,724"
July Tranparency 369,14/07/2021,DIG CHILDREN STRATEGIC MATERNITY ALLOWANCE DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£77,964"
July Tranparency 370,26/07/2021,"FG CRC KPI, BENEFITS REALISATION AND BUSINESS CHANGE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£76,950"
July Tranparency 371,13/07/2021,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,ALLIED PUBLICITY SERVICES MANCHESTER LTD,"£76,628"
July Tranparency 372,19/07/2021,EP CEP PHASE 2 NEA NB CPA09 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,CUMBRIA CHAMBER OF COMMERCE,"£76,543"
July Tranparency 373,20/07/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,VODAFONE LTD,"£75,594"
July Tranparency 374,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LIVERPOOL CITY REGION INCLUSION PROGRAMME ESF,"£75,089"
July Tranparency 375,19/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,FES SUPPORT SERVICES LTD,"£74,335"
July Tranparency 376,02/07/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BT GLOBAL SERVICES,"£74,133"
July Tranparency 377,30/07/2021,DIG LABOUR MARKET DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£74,104"
July Tranparency 378,19/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SUPPLIER SKILLS PROGRAMME GBSLEP SKILLS FUND,"£73,846"
July Tranparency 379,07/07/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,EXPERIAN LTD,"£72,500"
July Tranparency 380,30/07/2021,DIG - SDX DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,NORTH PB LTD,"£71,547"
July Tranparency 381,29/07/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£71,529"
July Tranparency 382,22/07/2021,DIG APPLICATION DATA PLATFORMS CIS RELEASE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£70,665"
July Tranparency 383,26/07/2021,DIG EMAIL & OFFICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SYMITY LTD,"£69,540"
July Tranparency 384,19/07/2021,EP CEP PHASE 2 NEA NB CPA06 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,IXION HOLDINGS CONTRACTS LTD,"£69,012"
July Tranparency 385,05/07/2021,STR ESA DIRECTORATE HCPS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£68,784"
July Tranparency 386,20/07/2021,STR WORK & HEALTH INNOVATION FUND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,OFFICE FOR NATIONAL STATISTICS,"£68,623"
July Tranparency 387,28/07/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£68,363"
July Tranparency 388,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£68,335"
July Tranparency 389,07/07/2021,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,BJSS LTD,"£68,078"
July Tranparency 390,06/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TASTE LOCAL,"£67,964"
July Tranparency 391,20/07/2021,DIG LIFE TEAM - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,DELOITTE LLP,"£67,951"
July Tranparency 392,07/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CORNWALL RECOVERY COLLEGE,"£66,574"
July Tranparency 393,06/07/2021,FG CD REPROGRAPHICS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,UK MAIL,"£66,527"
July Tranparency 394,14/07/2021,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,BMC SOFTWARE LTD,"£66,315"
July Tranparency 395,09/07/2021,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
July Tranparency 396,09/07/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£65,910"
July Tranparency 397,27/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,EDF ENERGY 1 LTD SCC UTILITIES ONLY,"£65,763"
July Tranparency 398,19/07/2021,EP CEP PHASE 2 NEA NB CPA14 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,BUSINESS SENSE ASSOCIATES LTD,"£65,677"
July Tranparency 399,22/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,UNLOCKING DIGITAL SKILLS FOR NORTH EAST BUSINESS,"£65,503"
July Tranparency 400,12/07/2021,DWP CHG DWP RE-IMAGINE WPM,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,KRONOS SYSTEMS LTD,"£65,376"
July Tranparency 401,14/07/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,PIONEN LTD,"£65,250"
July Tranparency 402,12/07/2021,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,PAM GROUP,"£65,250"
July Tranparency 403,30/07/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£65,021"
July Tranparency 404,12/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MITIE PROPERTY SERVICES UK LTD,"£64,624"
July Tranparency 405,09/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£64,341"
July Tranparency 406,30/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£64,107"
July Tranparency 407,21/07/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TILBURY TOMORROW,"£63,996"
July Tranparency 408,21/07/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,OVERBURY PLC,"£63,274"
July Tranparency 409,12/07/2021,FG PLANNING DEL A,Exp - Purchase Of Goods/Services - Consultancy,ACCENTURE UK LTD,"£62,828"
July Tranparency 410,15/07/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SAS SOFTWARE LTD,"£62,601"
July Tranparency 411,27/07/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,MCBAINS LTD,"£62,311"
July Tranparency 412,12/07/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INFINITYWORKS CONSULTING LTD,"£62,183"
July Tranparency 413,14/07/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,WILLIAMS LEA CCM LTD,"£62,069"
