Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Jun. Transparency 247,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210830,INSTANT MANAGED OFFICES,"£169,407"
Jun. Transparency 248,03/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S20P04146/CL/21Q01/04,SUCCEED,"£169,311"
Jun. Transparency 249,30/06/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806211288,IBM UNITED KINGDOM LTD,"£168,871"
Jun. Transparency 250,24/06/2021,DIG CHILDREN  - LIVE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,UKNI222008256,TATA CONSULTANCY SERVICES LTD,"£167,960"
Jun. Transparency 251,28/06/2021,CHG PEOPLE & LOCATIONS PROG OPERATIONS IMPLEMENTATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,82610064936,G4S SECURE SOLUTIONS UK LTD,"£166,672"
Jun. Transparency 252,15/06/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SIN064160A,METHODS BUSINESS AND DIGITAL TECHNOLOGY LTD,"£166,276"
Jun. Transparency 253,04/06/2021,WWEG WP FG CEP ESF1420 HERTFORDSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139353,REED IN PARTNERSHIP LTD,"£164,096"
Jun. Transparency 254,17/06/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509526,ACCENTURE UK LTD,"£162,676"
Jun. Transparency 255,01/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610062638D,G4S SECURE SOLUTIONS UK LTD,"£161,449"
Jun. Transparency 256,16/06/2021,EP CEP PHASE 2 NEA NB CPA02 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139833,PINNACLE PEOPLE,"£157,287"
Jun. Transparency 257,11/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210806,INSTANT MANAGED OFFICES,"£155,878"
Jun. Transparency 258,03/06/2021,EP CEP PHASE 2 NEA NB CPA02 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139321,PINNACLE PEOPLE,"£155,835"
Jun. Transparency 259,29/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,11S17C01923/CL/21Q01/29,THE BIG LOTTERY FUND,"£154,772"
Jun. Transparency 260,08/06/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-UK015460,BJSS LTD,"£154,320"
Jun. Transparency 261,22/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210828,INSTANT MANAGED OFFICES,"£152,268"
Jun. Transparency 262,23/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S17L02305/CL/21Q01/16,ATLANTIC & MOOR CLLD,"£152,226"
Jun. Transparency 263,16/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-06027,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£150,618"
Jun. Transparency 264,23/06/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,CABINETOFFICE3803112,CABINET OFFICE,"£147,508"
Jun. Transparency 265,01/06/2021,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139243,REMPLOY LTD,"£147,481"
Jun. Transparency 266,23/06/2021,DIG DIGITAL CROSS BOUNDARY TEAM INITIATIVES DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280414,CAPGEMINI UK PLC,"£147,137"
Jun. Transparency 267,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210902,INSTANT MANAGED OFFICES,"£147,012"
Jun. Transparency 268,30/06/2021,CHG STATE PENSION ACTIVATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000020331,TRANSUNION INTERNATIONAL UK LTD,"£147,000"
Jun. Transparency 269,24/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,105187-00089/MH/EG,DENTONS UK AND MIDDLE EAST LLP,"£142,366"
Jun. Transparency 270,09/06/2021,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,0000001321,REDESMERE LTD,"£141,990"
Jun. Transparency 271,18/06/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003509632,ACCENTURE UK LTD,"£141,275"
Jun. Transparency 272,10/06/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV-000876,INVOTRA LTD,"£138,611"
Jun. Transparency 273,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,105187-94/MH/EG,DENTONS UK & MIDDLE EAST LLP,"£138,033"
Jun. Transparency 274,10/06/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,566577,BT GLOBAL SERVICE SOLUTIONS,"£137,208"
Jun. Transparency 275,04/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210818,INSTANT MANAGED OFFICES,"£137,002"
Jun. Transparency 276,21/06/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,0000001717,NOMINET UK,"£136,365"
Jun. Transparency 277,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,07S17C01897/CL/21Q01/29,THE BIG LOTTERY FUND,"£135,854"
Jun. Transparency 278,02/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883054893,COMPUTACENTER UK LTD,"£135,133"
Jun. Transparency 279,08/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19P03328/CL/20Q04/08,CARING FOR THE FUTURE,"£134,640"
Jun. Transparency 280,17/06/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509501,ACCENTURE UK LTD,"£133,927"
Jun. Transparency 281,30/06/2021,WWEG CEP IPES CPA 2 NORTH EAST ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140318,REED IN PARTNERSHIP LTD,"£133,325"
Jun. Transparency 282,08/06/2021,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5584364012,ATOS ORIGIN IT SERVICES UK LTD,"£132,815"
Jun. Transparency 283,02/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3980043219SI,COMPUTACENTER UK LTD,"£132,357"
Jun. Transparency 284,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,566653,BT GLOBAL SERVICES,"£132,289"
Jun. Transparency 285,30/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210924,INSTANT MANAGED OFFICES,"£131,944"
Jun. Transparency 286,04/06/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780122293,COMPUTACENTER UK LTD,"£131,148"
Jun. Transparency 287,15/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S18P02595/CL/21Q01/14,STEPPING UP,"£128,593"
Jun. Transparency 288,11/06/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB-PSI-267481,SOFTWAREONE UK LTD,"£128,480"
Jun. Transparency 289,30/06/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5806211290,IBM UNITED KINGDOM LTD,"£126,478"
Jun. Transparency 290,23/06/2021,DIG DW AND DSP PLATFORM RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001897285,DELOITTE LLP,"£126,467"
Jun. Transparency 291,29/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10261438,KIER CONSTRUCTION LTD,"£125,687"
Jun. Transparency 292,18/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,16S17C01930/CL/21Q01/29,THE BIG LOTTERY FUND,"£125,451"
Jun. Transparency 293,01/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,09S17C02012/CL/20Q04/27,ESFA ESF PROJECTS,"£124,610"
Jun. Transparency 294,17/06/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,UKINV036539,G4S SECURE SOLUTIONS UK LTD,"£124,609"
Jun. Transparency 295,10/06/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PI00013968,SAS SOFTWARE LTD,"£120,594"
Jun. Transparency 296,01/06/2021,DIG ITLR - OTHER NETWORK CONTRACTS - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97501867,VODAFONE LTD,"£119,616"
Jun. Transparency 297,17/06/2021,P&C OD EMPLOYEE EXPERIENCE & STRATEGY,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,283064,QUALTRICS LLC,"£119,187"
Jun. Transparency 298,17/06/2021,DIG MOBILE DEVICES CONTRACT DEL A,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97753429A,VODAFONE LTD,"£119,142"
Jun. Transparency 299,08/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,07S20P04053/CL/21Q01/02a,CUMBRIA POSITIVE FUTURES,"£118,304"
Jun. Transparency 300,08/06/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-UK015459,BJSS LTD,"£118,244"
Jun. Transparency 301,17/06/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509508,ACCENTURE UK LTD,"£118,080"
Jun. Transparency 302,15/06/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-NTFR-5A,UBDS IT CONSULTING LTD,"£117,970"
Jun. Transparency 303,03/06/2021,EP CEP PHASE 2 NEA NB CPA11 SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139319,PEOPLEPLUS GROUP LTD,"£116,826"
Jun. Transparency 304,04/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S17P01657/CL/21Q01/18,CULTIVATOR SKILLS PHASE 2,"£116,408"
Jun. Transparency 305,03/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,10S19P03405/CL/21Q01/02,TECHNICAL CONSTRUCTION SKILLS FOR THE UNEMPLOYED ESF,"£115,662"
Jun. Transparency 306,28/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10261367,KIER CONSTRUCTION LTD,"£115,031"
Jun. Transparency 307,09/06/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,566283,BT GLOBAL SERVICES,"£114,492"
Jun. Transparency 308,17/06/2021,DIG MOBILE DEVICES CONTRACT DEL A,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,98042620A,VODAFONE LTD,"£113,387"
Jun. Transparency 309,17/06/2021,DIG SERVICES & SOFTWARE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-6138,OPENCAST SOFTWARE EUROPE LTD,"£112,749"
Jun. Transparency 310,01/06/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110277665,CAPGEMINI UK PLC,"£112,429"
Jun. Transparency 311,01/06/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,1800093906,ENGIE SERVICES LTD,"£112,179"
Jun. Transparency 312,08/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S18P02615/CL/21Q01/11,AEGIS IN COMMUNITIES,"£111,060"
Jun. Transparency 313,22/06/2021,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1292,SCRUMCONNECT LTD,"£110,520"
Jun. Transparency 314,21/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S19P03027/CL/20Q02/02,NASCENT 21 - ESF,"£109,669"
Jun. Transparency 315,04/06/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,2881000455,COMPUTACENTER UK LTD,"£109,667"
Jun. Transparency 316,21/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AP12866-004,MORRIS & SPOTTISWOOD,"£108,994"
Jun. Transparency 317,25/06/2021,OPS WDC WSD NATIONAL EMPLOYER AND PARTNERSHIP TEAM,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,5502249556,KPMG,"£108,822"
Jun. Transparency 318,03/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S16P00073/CL/21Q01/22,ACCESS TO WORK ESF 1420,"£108,048"
Jun. Transparency 319,03/06/2021,FG CD CORPORATE CHARGES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7344440,UK MAIL,"£108,018"
Jun. Transparency 320,17/06/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509503,ACCENTURE UK LTD,"£107,915"
Jun. Transparency 321,03/06/2021,EP CEP PHASE 2 NEA NB CPA05 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139336,IXION HOLDINGS CONTRACTS LTD,"£107,823"
Jun. Transparency 322,18/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210903,INSTANT MANAGED OFFICES,"£105,982"
Jun. Transparency 323,30/06/2021,FG CS HS MEDICAL SERVICES SPECIFIC COSTS,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,0000000370,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£105,609"
Jun. Transparency 324,28/06/2021,DIG CARERS POC - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-1309,SCRUMCONNECT LTD,"£104,650"
Jun. Transparency 325,30/06/2021,WWEG CEP IPES CPA 5 LONDON AND THE HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140337,SHAW TRUST,"£104,014"
Jun. Transparency 326,25/06/2021,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,GLD494532,GOVERNMENT LEGAL DEPARTMENT,"£102,712"
Jun. Transparency 327,02/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19P03305/CL/21Q01/12,A19,"£102,101"
Jun. Transparency 328,24/06/2021,CHG FES WORK MANAGEMENT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5806211041,IBM,"£101,450"
Jun. Transparency 329,03/06/2021,FG CS HS MEDICAL SERVICES SPECIFIC COSTS,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,0000000365,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£100,387"
Jun. Transparency 330,03/06/2021,EP CEP PHASE 2 NEA NB CPA09 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139338,CUMBRIA CHAMBER OF COMMERCE,"£100,297"
Jun. Transparency 331,24/06/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1294,SCRUMCONNECT LTD,"£100,200"
Jun. Transparency 332,29/06/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10261440,KIER CONSTRUCTION LTD,"£99,486"
Jun. Transparency 333,03/06/2021,EP CEP PHASE 2 NEA NB CPA12 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139320,PEOPLEPLUS GROUP LTD,"£99,231"
Jun. Transparency 334,07/06/2021,FG CD ESTATES COSTS,Exp - Purchase Of Goods/Services - Consultancy,91235974 and various,DENTONS UK & MIDDLE EAST LLP,"£98,644"
Jun. Transparency 335,08/06/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3807127,CABINET OFFICE,"£97,502"
Jun. Transparency 336,04/06/2021,WWEG CEP IPES CPA 5 LONDON AND THE HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139376,SHAW TRUST,"£96,925"
Jun. Transparency 337,17/06/2021,SE CE CUSTOMER INSIGHT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509504,ACCENTURE UK LTD,"£96,548"
Jun. Transparency 338,03/06/2021,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139335,IXION HOLDINGS CONTRACTS LTD,"£95,244"
Jun. Transparency 339,30/06/2021,WWEG CEP IPES CPA 4 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,140301,FEDCAP EMPLOYMENT,"£94,696"
Jun. Transparency 340,14/06/2021,DIG CHILDREN - ASSETS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277760,CAPGEMINI UK PLC,"£94,636"
Jun. Transparency 341,23/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,20S17P02298/CL/21Q01/09/2,REBOOT,"£93,807"
Jun. Transparency 342,22/06/2021,CHG CONTRACTED EMPLOYMENT PROVISION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5806210701,IBM UNITED KINGDOM LTD,"£93,744"
Jun. Transparency 343,10/06/2021,DIG EDW REMEDIATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PI00014105,SAS SOFTWARE LTD,"£92,745"
Jun. Transparency 344,04/06/2021,WWEG CEP IPES CPA 4 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139392,FEDCAP EMPLOYMENT,"£92,487"
Jun. Transparency 345,17/06/2021,DIG NOTIFICATION SERVICE PROJECT DELP,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509506,ACCENTURE UK LTD,"£91,847"
Jun. Transparency 346,24/06/2021,DIG DLA CHILD - ACCELERATION ACTIVITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110280725,CAPGEMINI UK PLC,"£91,579"
Jun. Transparency 347,25/06/2021,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280862,CAPGEMINI UK PLC,"£90,500"
Jun. Transparency 348,04/06/2021,DIG LM CASELOAD MANAGEMENT ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001805225,DELOITTE LLP,"£89,700"
Jun. Transparency 349,11/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504628,OVERBURY PLC,"£89,462"
Jun. Transparency 350,02/06/2021,DIG LIFE TEAM - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,8001811700,DELOITTE LLP,"£88,781"
Jun. Transparency 351,02/06/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110277471,CAPGEMINI UK PLC,"£88,247"
Jun. Transparency 352,14/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,03S19P03160/CL/21Q01/10,CHESHIRE & WARRINGTON PLEDGE,"£88,014"
Jun. Transparency 353,16/06/2021,EP CEP PHASE 2 NEA NB CPA05 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139802,IXION HOLDINGS CONTRACTS LTD,"£87,423"
Jun. Transparency 354,16/06/2021,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139801,IXION HOLDINGS CONTRACTS LTD,"£86,670"
Jun. Transparency 355,07/06/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,AINV-100455,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£86,529"
Jun. Transparency 356,21/06/2021,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3807052,CABINET OFFICE,"£85,117"
Jun. Transparency 357,16/06/2021,OPS DD DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - CLINICAL & MEDICAL,AINV-100472,ADVANCED PERSONNEL MANAGEMENT GROUP UK LTD,"£84,600"
Jun. Transparency 358,17/06/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,98156851,VODAFONE LTD,"£83,862"
Jun. Transparency 359,03/06/2021,EP CEP PHASE 2 NEA NB CPA06 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139337,IXION HOLDINGS CONTRACTS LTD,"£83,808"
Jun. Transparency 360,02/06/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11487,CROWN HOSTING DATA CENTRES LTD,"£83,712"
Jun. Transparency 361,02/06/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11491,CROWN HOSTING DATA CENTRES LTD,"£83,712"
Jun. Transparency 362,02/06/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11492,CROWN HOSTING DATA CENTRES LTD,"£83,712"
Jun. Transparency 363,02/06/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,11493,CROWN HOSTING DATA CENTRES LTD,"£83,712"
Jun. Transparency 364,10/06/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,AP12866-003,MORRIS & SPOTTISWOOD,"£83,473"
Jun. Transparency 365,24/06/2021,DIG LABOUR MARKET DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280732,CAPGEMINI UK PLC,"£83,459"
Jun. Transparency 366,04/06/2021,WWEG CEP IPES CPA 1 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,139375,SHAW TRUST,"£81,982"
Jun. Transparency 367,23/06/2021,DWP CHG DWP RE-IMAGINE WPM,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110280419,CAPGEMINI UK PLC,"£81,724"
Jun. Transparency 368,14/06/2021,CHG INTEGRATED SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,1011354223,JAMES HARVARD LTD,"£81,392"
Jun. Transparency 369,25/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S20P04108/CL/21Q01/05,APPRENTICESHIPS NEW ANGLIA,"£81,071"
Jun. Transparency 370,30/06/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S19P03078/CL/20Q03/07,CORNWALL RECOVERY COLLEGE,"£80,992"
Jun. Transparency 371,15/06/2021,DIG CHILDREN  - COMMON PLATFORMS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003509091,ACCENTURE UK LTD,"£80,261"
