Identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
May.Tranparency 247,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,31S16C01310/CL/20Q04/27,ESFA ESF PROJECTS,"£181,108"
May.Tranparency 248,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,21S17C02076/CL/20Q04/27,ESFA ESF PROJECTS,"£178,705"
May.Tranparency 249,07/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210707,INSTANT MANAGED OFFICES,"£174,774"
May.Tranparency 250,20/05/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),055394.00579/AZZR,DENTONS UK & MIDDLE EAST LLP,"£174,608"
May.Tranparency 251,18/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900597627,SODEXO LTD,"£172,174"
May.Tranparency 252,27/05/2021,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RECURRENT PUBLICITY,INV-MCS-00005301,M&C SAATCHI UK LTD,"£171,700"
May.Tranparency 253,27/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,FACMI052504A,MITIE FM LTD ,"£171,363"
May.Tranparency 254,12/05/2021,DIG DESKTOP SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,90025637,IVANTI UK LTD,"£170,626"
May.Tranparency 255,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01577-2,ISG FIT OUT LTD,"£170,166"
May.Tranparency 256,05/05/2021,FG CS HS HDAS PASSTHROUGH,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,0000000363,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£169,194"
May.Tranparency 257,28/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S20P03459/CL/21Q01/02,SKILLS ACCESS HUB,"£169,036"
May.Tranparency 258,24/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,ER44/105187-101,DENTONS UK & MIDDLE EAST LLP,"£166,706"
May.Tranparency 259,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564297,BT GLOBAL SERVICE SOLUTIONS,"£165,965"
May.Tranparency 260,18/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,05S20P04205/CL/21Q01/04,EMPLOYER LED SKILLS ESF,"£165,894"
May.Tranparency 261,07/05/2021,HR FAST STREAM,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,3805800,CABINET OFFICE,"£165,786"
May.Tranparency 262,24/05/2021,STR HEALTH & WELLBEING MESOTHELIOMA 2014,EXP - SOCIAL ASSISTANCE BENEFITS - 2014 DIFFUSE MESOTHELIOMA SCHEME,DIFFUSE_MESOTHELIOMA_SCHEME_DUNDS_OCT2020,TOP MARK CLAIMS MANAGEMENT LTD,"£164,366"
May.Tranparency 263,11/05/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),055394.465,DENTONS UK & MIDDLE EAST LLP,"£164,125"
May.Tranparency 264,25/05/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507269,ACCENTURE UK LTD,"£163,478"
May.Tranparency 265,17/05/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES -CCS MANAGED SERVICE,UK2-004912,BUYINGTEAM LTD TA PROXIMA,"£163,090"
May.Tranparency 266,04/05/2021,DIG DW AND DSP PLATFORM RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001754521,DELOITTE LLP,"£162,294"
May.Tranparency 267,20/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258053,KIER CONSTRUCTION LTD,"£162,271"
May.Tranparency 268,28/05/2021,DIG CONTACT CENTRE MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,566164,BT GLOBAL SERVICES,"£161,320"
May.Tranparency 269,10/05/2021,FG CD ESTATES COSTS,Exp - Purchase Of Goods/Services - Consultancy,91233284 and various,DENTONS UK & MIDDLE EAST LLP,"£160,988"
May.Tranparency 270,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,14S17C01943/CL/20Q04/28,THE BIG LOTTERY FUND,"£160,890"
May.Tranparency 271,21/05/2021,DIG MODERNISING DISSATISFACTION - ACCELERATION DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210230,IBM LTD,"£160,758"
May.Tranparency 272,28/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258835,KIER CONSTRUCTION LTD,"£159,768"
May.Tranparency 273,17/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210714,INSTANT MANAGED OFFICES,"£159,236"
May.Tranparency 274,27/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780121408,COMPUTACENTER UK LTD,"£159,089"
May.Tranparency 275,24/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,i198919,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£158,028"
May.Tranparency 276,27/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,21S19P03337/CL/20Q04/04,LEICESTER GRADUATE CITY,"£155,944"
May.Tranparency 277,14/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883033626,COMPUTACENTER UK LTD,"£155,772"
May.Tranparency 278,11/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S20P03476/CL/20Q04/02,STRENGTHENING COMMUNITIES PASSPORT TO HEALTH & EMPLOYMENT,"£155,650"
May.Tranparency 279,27/05/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210925,IBM UNITED KINGDOM LTD,"£154,138"
May.Tranparency 280,28/05/2021,DIG DIGITAL CROSS BOUNDARY TEAM INITIATIVES DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277267,CAPGEMINI UK PLC,"£153,995"
May.Tranparency 281,24/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,II9706527,NG BAILEY FACILITIES SERVICES LTD,"£151,200"
May.Tranparency 282,18/05/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,26435455,COFORGE DPA UK LTD,"£151,164"
May.Tranparency 283,24/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-04940,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£151,095"
May.Tranparency 284,13/05/2021,DIG MOBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,8001796123,DELOITTE LLP,"£150,000"
May.Tranparency 285,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,29S17C02055/CL/20Q04/27,ESFA ESF PROJECTS,"£149,747"
May.Tranparency 286,05/05/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-210421,SOMERFORD ASSOCIATES LTD,"£148,163"
May.Tranparency 287,26/05/2021,DIG DW AND DSP PLATFORM RUN,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,8001820259,DELOITTE LLP,"£147,808"
May.Tranparency 288,25/05/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003507204,ACCENTURE UK LTD,"£147,149"
May.Tranparency 289,28/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S20P03459/CL/20Q04/01,SKILLS ACCESS HUB,"£145,051"
May.Tranparency 290,21/05/2021,DIG RTG DATA PLATFORMS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PI00013993,SAS INSTITUTE,"£144,243"
May.Tranparency 291,07/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210628,INSTANT MANAGED OFFICES,"£143,056"
May.Tranparency 292,25/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10258559,KIER CONSTRUCTION LTD,"£142,804"
May.Tranparency 293,07/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,30S18L02743/CL/20Q04/15,TILBURY TOMORROW,"£142,117"
May.Tranparency 294,12/05/2021,DIG ITLR - CONNECTIVITY - PSNC - DELA,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,563507,BT GLOBAL SERVICES,"£141,970"
May.Tranparency 295,24/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,105187-105/MH/EG,DENTONS UK & MIDDLE EAST LLP,"£141,208"
May.Tranparency 296,20/05/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-210426,SOMERFORD ASSOCIATES LTD,"£140,580"
May.Tranparency 297,07/05/2021,DIG IAG UC BUNDLE BUILDER - ACCELERATION ACTIVITY DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,GB-PSI-266275,SOFTWAREONE UK LTD,"£138,963"
May.Tranparency 298,10/05/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV-000853,INVOTRA LTD,"£138,611"
May.Tranparency 299,04/05/2021,CHG FES WORK MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,26433796,COFORGE DPA UK LTD,"£138,180"
May.Tranparency 300,06/05/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882999164,COMPUTACENTER UK LTD,"£138,122"
May.Tranparency 301,14/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-03720,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£137,810"
May.Tranparency 302,05/05/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),105187-76/MH/RCAW-1,DENTONS UK & MIDDLE EAST LLP,"£135,995"
May.Tranparency 303,24/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,21S17C01911/CL/20Q04/27,ESFA ESF PROJECTS,"£135,642"
May.Tranparency 304,10/05/2021,DIG DFCNI OGD,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564397,BT GLOBAL SERVICES,"£134,943"
May.Tranparency 305,05/05/2021,FG CRC PROTECTIVE MONITORING INTEGRATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SI-210334,SOMERFORD ASSOCIATES LTD,"£134,531"
May.Tranparency 306,25/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,26S16C01311/CL/20Q04/27,ESFA ESF PROJECTS,"£134,091"
May.Tranparency 307,19/05/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110276960,CAPGEMINI UK PLC,"£133,436"
May.Tranparency 308,04/05/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB046-180002118,WILLIAMS LEA CCM LTD,"£132,516"
May.Tranparency 309,17/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,04S19C03247/CL/20Q04/10,ESFA ESF PROJECTS,"£130,783"
May.Tranparency 310,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,38S17C01922/CL/20Q04/28,THE BIG LOTTERY FUND,"£128,475"
May.Tranparency 311,12/05/2021,FG CD STRATEGY AND BUSINESS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES -CCS MANAGED SERVICE,UK2-004928,BUYINGTEAM LTD TA PROXIMA,"£128,000"
May.Tranparency 312,17/05/2021,CHG DWP RE-IMAGINE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210228,IBM LTD,"£127,285"
May.Tranparency 313,26/05/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,LA635464,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,"£126,917"
May.Tranparency 314,19/05/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,9900597630,SODEXO LTD,"£126,622"
May.Tranparency 315,05/05/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,564626,BT GLOBAL SERVICES,"£126,511"
May.Tranparency 316,11/05/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564026,BT GLOBAL SERVICE SOLUTIONS,"£125,928"
May.Tranparency 317,13/05/2021,STR LEGAL SERVICES,EXP - MISCELLANEOUS EXPENDITURE - SPECIAL PAYMENTS - LEGAL SETTLEMENTS,Z1903811-R2,GOVERNMENT LEGAL DEPARTMENT,"£125,000"
May.Tranparency 318,12/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3883028984,COMPUTACENTER UK LTD,"£124,618"
May.Tranparency 319,25/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,UKINV036042,G4S SECURE SOLUTIONS UK LTD,"£124,610"
May.Tranparency 320,25/05/2021,DIG SERVICES & SOFTWARE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-6064,OPENCAST SOFTWARE EUROPE LTD,"£124,478"
May.Tranparency 321,10/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210706,INSTANT MANAGED OFFICES,"£124,273"
May.Tranparency 322,27/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-6040,OPENCAST SOFTWARE EUROPE LTD,"£122,874"
May.Tranparency 323,28/05/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1265,SCRUMCONNECT LTD,"£120,420"
May.Tranparency 324,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,27S17C01874/CL/20Q04/28,THE BIG LOTTERY FUND,"£119,865"
May.Tranparency 325,07/05/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780120922,COMPUTACENTER UK LTD,"£118,702"
May.Tranparency 326,25/05/2021,SE CE CUSTOMER INSIGHT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507210,ACCENTURE UK LTD,"£117,946"
May.Tranparency 327,27/05/2021,DIG CARERS POC - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-1279,SCRUMCONNECT LTD,"£115,700"
May.Tranparency 328,27/05/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1285,SCRUMCONNECT LTD,"£115,230"
May.Tranparency 329,27/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S20P04216/CL/21Q01/04,ROUTES2,"£115,087"
May.Tranparency 330,25/05/2021,"DIG ENGAGEMENT, ADOPTION & RELEASE SERVICE",EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507257,ACCENTURE UK LTD,"£114,770"
May.Tranparency 331,07/05/2021,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,1800092146,ENGIE SERVICES LTD,"£112,179"
May.Tranparency 332,06/05/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,0000000441,2T SECURITY LTD,"£111,833"
May.Tranparency 333,13/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,5S17P01657/CL/20Q04/17,CULTIVATOR SKILLS PHASE 2,"£110,104"
May.Tranparency 334,18/05/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,ILCS0932-3,ISG FIT OUT LTD,"£109,920"
May.Tranparency 335,11/05/2021,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1259,SCRUMCONNECT LTD,"£109,800"
May.Tranparency 336,18/05/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,6104015,ENTSERV UK LTD,"£109,600"
May.Tranparency 337,27/05/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,6105059,ENTSERV UK LTD,"£109,600"
May.Tranparency 338,24/05/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110277314,CAPGEMINI UK PLC,"£109,386"
May.Tranparency 339,28/05/2021,DIG INTEGRATION PLATFORMS DIGITAL GATEWAY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ERS-390900146330-272349,CAPGEMINI UK PLC,"£109,386"
May.Tranparency 340,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,26S17C01918/CL/20Q04/28,THE BIG LOTTERY FUND,"£109,254"
May.Tranparency 341,26/05/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),REEPHACKNEY,DENTONS UK & MIDDLE EAST LLP,"£109,235"
May.Tranparency 342,17/05/2021,DIG LIFE TEAM - CARERS PATHFINDER DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,8001743844,DELOITTE LLP,"£108,018"
May.Tranparency 343,13/05/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-UK015312,BJSS LTD,"£107,559"
May.Tranparency 344,13/05/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATW-002,DIFRENT LTD,"£107,010"
May.Tranparency 345,10/05/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804211093,IBM UK LTD,"£106,002"
May.Tranparency 346,24/05/2021,DIG ITLR - TELEPHONY - PSNT - DELA,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING TELEPHONY,97897734,VODAFONE LTD,"£104,921"
May.Tranparency 347,04/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,10S17C01882/CL/20Q04/28,THE BIG LOTTERY FUND,"£104,530"
May.Tranparency 348,10/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,I197967,WAGSTAFF INTERIORS GROUP STD FURNITURE,"£103,043"
May.Tranparency 349,26/05/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5805210847,IBM UNITED KINGDOM LTD,"£100,587"
May.Tranparency 350,10/05/2021,DIG TS-ENGINEERING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3883024989,COMPUTACENTER UK LTD,"£99,955"
May.Tranparency 351,05/05/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),REEPBASINGSTOKE-1,DENTONS UK & MIDDLE EAST LLP,"£98,259"
May.Tranparency 352,07/05/2021,DIG CROSS CUTTING SERVICES,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PI00014119,SAS SOFTWARE LTD,"£98,226"
May.Tranparency 353,04/05/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,22607,RESOLUTION INTERIORS LTD,"£98,027"
May.Tranparency 354,21/05/2021,CHG KICK START RECURRENT,EXP - CURRENT GRANTS - NPISH - KICK START - SERVICE FEES,KICK5044853D,"EAST MIDLANDS CHAMBER (DERBYSHIRE,NOTTINGHAMSHIRE,LEICESTERSHIRE)","£97,810"
May.Tranparency 355,12/05/2021,DIG CSO-01 SSTRATEGIC SECURITY OPERATIONS CENTRE (SSOC),EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,21331001705,AKAMAI TECHNOLOGIES,"£97,177"
May.Tranparency 356,26/05/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5805210854,IBM UNITED KINGDOM LTD,"£96,014"
May.Tranparency 357,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19L02185/CL/20Q04/17,SUNDERLAND ECONOMIC CORRIDOR CLLD IMP STAGE,"£95,821"
May.Tranparency 358,28/05/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210801,INSTANT MANAGED OFFICES,"£95,332"
May.Tranparency 359,05/05/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-UK015162,BJSS LTD,"£94,494"
May.Tranparency 360,05/05/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-UK015231,BJSS LTD,"£93,537"
May.Tranparency 361,25/05/2021,DIG CHILDREN  - COMMON PLATFORMS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003507261A,ACCENTURE UK LTD,"£93,145"
May.Tranparency 362,24/05/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,IGBSA74857,MICRO FOCUS LTD,"£93,126"
May.Tranparency 363,12/05/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,3806152,CABINET OFFICE,"£92,528"
May.Tranparency 364,21/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,12S18P02742/CL/21Q01/11-2,EMPLOYMENT PLUS,"£92,348"
May.Tranparency 365,20/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S17C02072/CL/20Q04/27,ESFA ESF PROJECTS,"£92,293"
May.Tranparency 366,26/05/2021,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-1770,HIPPO DIGITAL LTD,"£91,500"
May.Tranparency 367,12/05/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,10S17C02023/CL/20Q04/27,ESFA ESF PROJECTS,"£91,355"
May.Tranparency 368,28/05/2021,DIG - LEGACY SUPPORT DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,5805210932,IBM UNITED KINGDOM LTD,"£90,000"
May.Tranparency 369,27/05/2021,DIG LABOUR MARKET DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110277475,CAPGEMINI UK PLC,"£89,568"
May.Tranparency 370,05/05/2021,CHG INTEGRATED SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-UK015185,BJSS LTD,"£88,878"
May.Tranparency 371,07/05/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,0665432,IRON MOUNTAIN UK LTD,"£88,617"
May.Tranparency 372,05/05/2021,FG CS HS MEDICAL SERVICES SPECIFIC COSTS,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,0000000364,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£88,416"
