Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 247,20/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210519,INSTANT MANAGED OFFICES,"£261,089"
Apr. Transparency 248,30/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10255845,KIER CONSTRUCTION LTD,"£259,468"
Apr. Transparency 249,22/04/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890623,SOFTCAT PLC,"£253,008"
Apr. Transparency 250,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF PENDING CLAIMS,19S17P01849/CL/20Q04/12,UPSKILLING LANCASHIRE,"£248,286"
Apr. Transparency 251,01/04/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1734,INCENDIUM CONSULTING LTD,"£245,651"
Apr. Transparency 252,16/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,MSH/105187-80,DENTONS UK & MIDDLE EAST LLP,"£244,453"
Apr. Transparency 253,14/04/2021,DIG DIGITAL CROSS BOUNDARY TEAM - PEOPLE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5803211177,IBM UK LTD,"£244,195"
Apr. Transparency 254,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S16C00944/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£243,271"
Apr. Transparency 255,19/04/2021,DIG ITLR ADEP AM - ACCENTURE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003502436,ACCENTURE UK LTD,"£240,401"
Apr. Transparency 256,15/04/2021,DIG DATA TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110273368,CAPGEMINI UK PLC,"£236,643"
Apr. Transparency 257,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,36S17C01915/CL/20Q04/28,THE BIG LOTTERY FUND,"£230,805"
Apr. Transparency 258,22/04/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890627,SOFTCAT PLC,"£229,380"
Apr. Transparency 259,13/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S16C00941/CL/20Q01/25,DEPARTMENT FOR WORK & PENSIONS,"£227,814"
Apr. Transparency 260,22/04/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),105187-84/JPEC,DENTONS UKMEA LLP,"£227,076"
Apr. Transparency 261,06/04/2021,DIG INTEGRATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003501796,ACCENTURE UK LTD,"£225,000"
Apr. Transparency 262,08/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10254548,KIER CONSTRUCTION LTD,"£224,926"
Apr. Transparency 263,07/04/2021,DIG WA SOFTWARE & SERVICES DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,20210571,ADHUNTER LTD,"£224,739"
Apr. Transparency 264,28/04/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210972,IBM UNITED KINGDOM LTD,"£223,447"
Apr. Transparency 265,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,39S17C01898/CL/20Q04/28,THE BIG LOTTERY FUND,"£223,156"
Apr. Transparency 266,09/04/2021,DWP UCO DIRECTOR OUTSOURCING,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91756545,SERCO LTD,"£221,520"
Apr. Transparency 267,08/04/2021,DIG INTEGRATION PLATFORMS MESSAGING NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5803212216,IBM UK LTD,"£220,097"
Apr. Transparency 268,22/04/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),055394.00470/AZZR,DENTONS UKMEA LLP,"£219,244"
Apr. Transparency 269,21/04/2021,OPS CFC OPERATIONAL INTELLIGENCE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,1134640,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,"£217,902"
Apr. Transparency 270,23/04/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210719,IBM UNITED KINGDOM LTD,"£217,889"
Apr. Transparency 271,23/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210619,INSTANT MANAGED OFFICES,"£216,827"
Apr. Transparency 272,21/04/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,0664682,IRON MOUNTAIN UK LTD,"£215,115"
Apr. Transparency 273,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,34S16P00837/CL/20Q04/22,NEW COLLEGE DURHAM,"£213,335"
Apr. Transparency 274,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF PENDING CLAIMS,28S19P03479/CL/20Q04/08,PATHWAYS TO SUCCESS,"£212,196"
Apr. Transparency 275,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,09S17C01924/CL/20Q04/28,THE BIG LOTTERY FUND,"£212,089"
Apr. Transparency 276,28/04/2021,DIG SERVICES & SOFTWARE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110274257,CAPGEMINI UK PLC,"£209,882"
Apr. Transparency 277,09/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-03496,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£209,026"
Apr. Transparency 278,01/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504422,OVERBURY PLC,"£208,602"
Apr. Transparency 279,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,37S17C01925/CL/20Q04/28,THE BIG LOTTERY FUND,"£207,957"
Apr. Transparency 280,07/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,UK01-2021000165-CI,SNOW SOFTWARE LTD,"£207,480"
Apr. Transparency 281,07/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,3804554,CABINET OFFICE,"£205,773"
Apr. Transparency 282,20/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210530,INSTANT MANAGED OFFICES,"£203,859"
Apr. Transparency 283,07/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,00002095-210429,INSTANT MANAGED OFFICES,"£203,683"
Apr. Transparency 284,27/04/2021,CMG OPS EXTERNAL CONTRACTS/SLAS OPTIONS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,INV00283,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£202,538"
Apr. Transparency 285,23/04/2021,STR COGNITIVE BEHAVIOURAL THERAPY TRIAL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X141964,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£200,206"
Apr. Transparency 286,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,22S16P00073/CL/20Q04/21,ACCESS TO WORK ESF 1420,"£198,037"
Apr. Transparency 287,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,4500056362,ADOBE SYSTEMS SOFTWARE IRELAND LTD,"£197,762"
Apr. Transparency 288,30/04/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,LA632212,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,"£196,929"
Apr. Transparency 289,23/04/2021,CHG DWP RE-IMAGINE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,5804210438,IBM,"£196,302"
Apr. Transparency 290,14/04/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,KY75633,XMA LTD,"£195,951"
Apr. Transparency 291,21/04/2021,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,HEX67000717145,EXPERIAN LTD,"£193,200"
Apr. Transparency 292,28/04/2021,DIG SPECIALIST & ENGINEERING DEVICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,OP/M938811,SPECIALIST COMPUTER CENTRES PLC,"£193,140"
Apr. Transparency 293,26/04/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504213,ACCENTURE UK LTD,"£190,738"
Apr. Transparency 294,27/04/2021,FG CSO CHIEF SECURITY OFFICER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504232,ACCENTURE UK LTD,"£190,430"
Apr. Transparency 295,06/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S20P04169/CL/20Q04/03/2,IPROGRAMME 2 1 ESF,"£190,026"
Apr. Transparency 296,09/04/2021,WWEG WP FG CEP ESF1420 LEICESTER & LEICESTERSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,137871,FEDCAP EMPLOYMENT,"£189,701"
Apr. Transparency 297,20/04/2021,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,18000032062020,HMRC,"£188,865"
Apr. Transparency 298,23/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,24S17C01877/CL/20Q04/28,THE BIG LOTTERY FUND,"£188,757"
Apr. Transparency 299,20/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,13S17C01870/CL/20Q04/28,THE BIG LOTTERY FUND,"£188,110"
Apr. Transparency 300,21/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,07S17C01897/CL/20Q04/28,THE BIG LOTTERY FUND,"£185,521"
Apr. Transparency 301,14/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900589991,SODEXO LTD,"£184,487"
Apr. Transparency 302,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,3882992322,COMPUTACENTER UK LTD,"£181,493"
Apr. Transparency 303,14/04/2021,OPS CFC DEBT CONTRACTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,91756544,SERCO LTD,"£181,339"
Apr. Transparency 304,20/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,28S17C01873/CL/20Q04/28,THE BIG LOTTERY FUND,"£180,850"
Apr. Transparency 305,07/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01555-1,ISG FIT OUT LTD,"£180,151"
Apr. Transparency 306,22/04/2021,FG CD ESTATES COSTS,CA - PREPAYMENTS (NON-PFI),105187-78/BXXI/MSH,DENTONS UKMEA LLP,"£180,140"
Apr. Transparency 307,08/04/2021,OPS SE ST DIRECTOR,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,INV-1605,HIPPO DIGITAL LTD,"£178,848"
Apr. Transparency 308,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,11042,BRAMBLE HUB LTD,"£178,000"
Apr. Transparency 309,15/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,06S18P02732/CL/20Q04/09,CENTRE FOR DIGITAL & CYBER SKILLS,"£176,203"
Apr. Transparency 310,20/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,04S17C01878/CL/20Q04/28,THE BIG LOTTERY FUND,"£175,997"
Apr. Transparency 311,08/04/2021,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,0000000011,PIONEN LTD,"£175,650"
Apr. Transparency 312,26/04/2021,DIG INTEGRATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110274017,CAPGEMINI UK PLC,"£173,601"
Apr. Transparency 313,26/04/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,3003504261,ACCENTURE UK LTD,"£173,333"
Apr. Transparency 314,15/04/2021,DIG BEYOND UC DATA SET CREATION ACCELERATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV006362,CREDERA LTD,"£172,678"
Apr. Transparency 315,26/04/2021,DIG CHILDREN - CMG ACCELERATION ACTIVITY DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504263,ACCENTURE UK LTD,"£170,858"
Apr. Transparency 316,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3780119839,COMPUTACENTER UK LTD,"£170,070"
Apr. Transparency 317,22/04/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,0664808,IRON MOUNTAIN UK LTD,"£169,646"
Apr. Transparency 318,22/04/2021,DIG DESKTOP BRIGHT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,6100897A,ENTSERV UK LTD,"£168,750"
Apr. Transparency 319,01/04/2021,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,ESRC11400,ECONOMIC & SOCIAL RESEARCH COUNCIL,"£166,667"
Apr. Transparency 320,01/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,105187-6962/CV/MSH,DENTONS UK & MIDDLE EAST LLP,"£166,108"
Apr. Transparency 321,20/04/2021,DIG DDSP BUSINESS SERVICES,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210370,IBM,"£165,958"
Apr. Transparency 322,06/04/2021,DIG CITIZEN INFORMATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5803211593,IBM UNITED KINGDOM LTD,"£164,549"
Apr. Transparency 323,28/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,18S17C01872/CL/20Q04/28,THE BIG LOTTERY FUND,"£163,938"
Apr. Transparency 324,20/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,GB3002-CI-21-03717,CUSHMAN & WAKEFIELD DEBENHAM TIE LEUNG LTD,"£163,595"
Apr. Transparency 325,14/04/2021,DIG IOS ARCHITECTURE DESIGN,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2600110273359,CAPGEMINI UK PLC,"£163,524"
Apr. Transparency 326,09/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S19P03058/CL/20Q04/06,UNDER ONE ROOF,"£163,319"
Apr. Transparency 327,22/04/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890622,SOFTCAT PLC,"£162,648"
Apr. Transparency 328,22/04/2021,DIG O365 PLATFORM SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02890625,SOFTCAT PLC,"£162,648"
Apr. Transparency 329,14/04/2021,STR COGNITIVE BEHAVIOURAL THERAPY TRIAL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,X141962,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£161,895"
Apr. Transparency 330,16/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,FACMI051729,MITIE FM LTD,"£160,039"
Apr. Transparency 331,07/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,CSI01556-1,ISG FIT OUT LTD,"£159,693"
Apr. Transparency 332,23/04/2021,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,TCM6828,MCBAINS LTD,"£156,537"
Apr. Transparency 333,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,HW20098,HOPEWISER LTD,"£155,365"
Apr. Transparency 334,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,19S16C00939/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£154,020"
Apr. Transparency 335,28/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,33S17C01996/CL/20Q04/28,THE BIG LOTTERY FUND,"£151,997"
Apr. Transparency 336,26/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210614,INSTANT MANAGED OFFICES,"£149,882"
Apr. Transparency 337,21/04/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB046-180001926,WILLIAMS LEA,"£149,152"
Apr. Transparency 338,26/04/2021,EP CEP PHASE 2 NEA NB CPA02 CENTRAL ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138097,PINNACLE PEOPLE,"£148,849"
Apr. Transparency 339,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,10S19C03559/CL/20Q03/04,DEPARTMENT FOR WORK & PENSIONS,"£148,253"
Apr. Transparency 340,14/04/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,INV001031,INFINITYWORKS CONSULTING LTD,"£147,881"
Apr. Transparency 341,28/04/2021,DIG MAINTENANCE - HEALTH DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210978,IBM UNITED KINGDOM LTD,"£147,715"
Apr. Transparency 342,13/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,ROTHERHAMREEP,DENTONS UK & MIDDLE EAST LLP,"£147,449"
Apr. Transparency 343,16/04/2021,DIG PENSIONS & DISABLED SERVICE INITIATIVES,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,INV-1244,SCRUMCONNECT LTD,"£146,880"
Apr. Transparency 344,26/04/2021,DIG CHANNELS SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504259,ACCENTURE UK LTD,"£145,869"
Apr. Transparency 345,28/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,11S17C01923/CL/20Q04/28,THE BIG LOTTERY FUND,"£144,458"
Apr. Transparency 346,30/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,10256416,KIER CONSTRUCTION LTD,"£144,126"
Apr. Transparency 347,30/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,1504502,OVERBURY PLC,"£143,542"
Apr. Transparency 348,15/04/2021,DIG WA TACTICAL TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UKSI12698,VALTECH LTD,"£143,130"
Apr. Transparency 349,01/04/2021,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,562688,BT GLOBAL SERVICE SOLUTIONS,"£142,598"
Apr. Transparency 350,06/04/2021,SE SPD RECORDS MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REMOTE STORAGE,0660999,IRON MOUNTAIN UK LTD,"£142,570"
Apr. Transparency 351,28/04/2021,DIG TECH PLATFORM CIS SEF,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2600110274245,CAPGEMINI UK PLC,"£142,494"
Apr. Transparency 352,19/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INV-5966,OPENCAST SOFTWARE EUROPE LTD,"£141,310"
Apr. Transparency 353,13/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,ER44/105187-92,DENTONS UK & MIDDLE EAST LLP,"£140,653"
Apr. Transparency 354,23/04/2021,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,557905,BT GLOBAL SERVICES,"£139,628"
Apr. Transparency 355,14/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210518,INSTANT MANAGED OFFICES,"£139,206"
Apr. Transparency 356,14/04/2021,DIG TEAM COLLABORATION ,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,INV-000837,INVOTRA LTD,"£138,611"
Apr. Transparency 357,19/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,INVCA00003325,INSTANT MANAGED OFFICES,"£138,397"
Apr. Transparency 358,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,21S16C00945/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£138,305"
Apr. Transparency 359,01/04/2021,DIG - NETWORK TRANSFORMATION DEL P,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,OP/M944812,SPECIALIST COMPUTER CENTRES PLC,"£138,178"
Apr. Transparency 360,28/04/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB046-180002115,WILLIAMS LEA CCM LTD,"£137,101"
Apr. Transparency 361,22/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES -ACCOMM & BLDNG MGMT - MAINTENANCE & REPAIRS,00002095-210609,INSTANT MANAGED OFFICES,"£136,463"
Apr. Transparency 362,01/04/2021,DIG TRANSITIONAL HOSTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,2600110271514,CAPGEMINI UK PLC,"£135,492"
Apr. Transparency 363,14/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,23S17C01964/CL/20Q03/21,GLA CFO 2014 20 ESF PROGRAMME,"£134,913"
Apr. Transparency 364,20/04/2021,DIG INTEGRATION - STRATEGIC ARA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210375,IBM UK LTD,"£134,207"
Apr. Transparency 365,26/04/2021,SE ST CHANNEL TRANSFORMATION,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504237,ACCENTURE UK LTD,"£130,240"
Apr. Transparency 366,06/04/2021,DIG TECHNOLOGY COO OWNED ASSETS DEL A,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,DWP025,UNIFII,"£129,404"
Apr. Transparency 367,28/04/2021,DIG BULK PRINT SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB046-180002111,WILLIAMS LEA CCM LTD,"£129,088"
Apr. Transparency 368,26/04/2021,CHG KICK START,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210716,IBM UNITED KINGDOM LTD,"£128,327"
Apr. Transparency 369,20/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,105187-22/JPEC,DENTONS UKMEA LLP,"£128,088"
Apr. Transparency 370,28/04/2021,FG CD ESTATES TOM DEL P,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,9900593039,SODEXO LTD,"£126,417"
