Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081012," 120,024.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081594," 120,024.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081742," 140,028.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080386," 140,028.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080721," 140,028.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2160142," 140,028.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081004," 140,028.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081149," 140,028.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081445," 140,028.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080312," 155,031.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2079990," 170,034.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081867," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080297," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080699," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2160058," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2160059," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080381," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080382," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080831," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080832," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081263," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081358," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081359," 180,036.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081866," 200,040.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080214," 200,040.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080696," 200,040.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080704," 200,040.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080799," 200,040.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081262," 200,040.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081747," 240,048.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080586," 240,048.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081155," 240,048.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2160143," 400,080.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080800," 400,080.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081005," 400,080.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,20/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081446," 400,080.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2160076," 570,114.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081872," 580,116.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2079994," 580,116.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080311," 580,116.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,16/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2080585," 580,116.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2081154," 580,116.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,HOLOGIC LTD,2079915," 1,435,287.00 ",,M23 9HZ,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,12/10/2020,Additions-PDC permanent,Holding CT Core,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-31304," 1,620,000.00 ",,E9 6SR,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Capital policy payments,COMMUNITY CARE,HOMES ENGLAND,S0016855," 688,522.00 ",,NE11 0NA,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Capital policy payments,COMMUNITY CARE,HOMES ENGLAND,S0016939," 900,000.00 ",,NE11 0NA,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,21/10/2020,Capital policy payments,COMMUNITY CARE,HOMES ENGLAND,S0017090," 5,400,000.00 ",,NE11 0NA,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,HOUNSLOW LONDON BOROUGH COUNCIL,ERS-647496-198509," 814,569.00 ",,TW3 4DN,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,ERS-646209-197603," 37,266.00 ",,HU3 2JZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07571," 84,022.85 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07544," 84,022.85 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07545," 84,022.85 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07568," 84,022.85 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07565," 84,022.85 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07566," 84,022.85 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07607," 588,159.94 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07573," 672,182.78 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07591," 672,182.78 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07634," 672,182.78 ",,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07607, 0.01 ,,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07591, 0.02 ,,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,31/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,I LOVE COSMETICS,SI07634, 0.02 ,,PR25 2DY,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,IBM UK LTD,5809202057," 39,600.00 ",,PO6 3AU,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Consultancy/Professional Advice,GLOBAL AND PUBLIC HEALTH,IBM UK LTD,5809202058," 386,746.80 ",,PO6 3AU,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,07/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,IDENTITY E2E LTD,101497," 98,850.00 ",,TN14 7AA,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMMENSA HEALTH CLINIC LTD,GV-0002," 1,247,195.00 ",,W1J 6ER,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMMENSA HEALTH CLINIC LTD,GV-0004," 1,988,095.00 ",,W1J 6ER,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,27/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMMENSA HEALTH CLINIC LTD,INV-0005," 3,506,739.00 ",,W1J 6ER,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-646279-197621," 1,502,656.00 ",,W12 0HS,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-646231-197619," 1,205,879.00 ",,W12 0HS,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-646245-197620," 184,371.00 ",,W12 0HS,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-646222-197618," 158,185.00 ",,W12 0HS,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Additions PDC Capital Support NHS T Permanent,Holding CT Core,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,HAFS-31308," 12,964,000.00 ",,W12 0HS,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-647340-198364," 902,287.94 ",,SW7 2AZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-647204-198303," 82,202.15 ",,SW7 2AZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-646383-197763," 116,274.00 ",,SW7 2AZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-646357-197762," 195,000.00 ",,SW7 2AZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-647333-198363," 273,834.00 ",,SW7 2AZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,IMPERIAL COLLEGE LONDON,ERS-645514-197081," 34,000.00 ",,SW7 2AZ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMPERIAL COLLEGE PROJECTS LTD,86004204," 726,217.00 ",,SW7 2PG,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMPERIAL POLYTHENE PRODUCTS LTD,SIN105914," 5,847.60 ",PPE - Aprons,SL3 0ED,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMPERIAL POLYTHENE PRODUCTS LTD,SIN105914," 30,188.40 ",PPE - Aprons,SL3 0ED,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMPERIAL POLYTHENE PRODUCTS LTD,SIN106116," 36,036.00 ",PPE - Aprons,SL3 0ED,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,30/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IMPERIAL POLYTHENE PRODUCTS LTD,SIN106115," 48,272.40 ",PPE - Aprons,SL3 0ED,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Outsourcing Contract,COMMUNITY CARE,IMPROVEMENT AND DEVELOPMENT AGENCY,40223103," 2,076,179.00 ",,SW1P 3HZ,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Policy Payments,GLOBAL AND PUBLIC HEALTH,IMPROVEMENT AND DEVELOPMENT AGENCY,40223076," 178,750.00 ",,SW1P 3HZ,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Service Charge - ICT,COMMUNITY CARE,IN PRACTICE SYSTEMS LTD,448476," 230,917.16 ",,SW8 3QJ,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Service Charge - ICT,COMMUNITY CARE,Informatica Systems Ltd,INV-0403," 68,841.63 ",,RH4 9JD,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INITIA VENTURES LTD,020893318MA," 147,041.06 ",,HA2 7LT,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000018, 451.99 ,,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000016," 854,215.49 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000012," 886,312.50 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000012," 1,672,264.08 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000012," 1,676,768.92 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000016," 1,809,300.00 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000018," 1,859,734.51 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000017," 1,952,687.00 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000026," 2,533,020.00 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000028," 2,533,020.00 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,23/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000026," 3,799,530.00 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000028," 3,799,530.00 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,15/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INIVOS LTD,FT000016," 3,943,595.51 ",,NW1 3AD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,05/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INNOVA MEDICAL GROUP INC,659900250," 25,458,037.79 ",Test Kits,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,INNOVA MEDICAL GROUP INC ,663004960," 47,700,000.00 ",Test Kits,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,02/10/2020,Research & development,CHIEF SCIENTIFIC ADVISOR,INTENSIVE CARE NATIONAL AUDIT AND RESEARCH CENTRE,ERS-645495-197080," 34,000.00 ",,WC1V 6AZ,VCS,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IPSOS MORI UK LTD,20002237," 4,326,750.21 ",,HA1 1PT,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,14/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,IPSOS MORI UK LTD,20002036," 5,868,672.51 ",,HA1 1PT,SME,,,,,
Department of Health and Social Care,Department of Health and Social Care,06/10/2020,Outsourcing Contract,COMMUNITY CARE,IQVIA LTD,4124607591," 42,245.10 ",,N1 9JY,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,IRG ADVISORS LLP TA ODGERS BERNDTSON,1200081," 79,092.00 ",,EC4M 6XD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,26/10/2020,Professional fees,GLOBAL AND PUBLIC HEALTH,IRG ADVISORS LLP TA ODGERS BERNDTSON,1200081," 108,952.50 ",,EC4M 6XD,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Storage costs,FINANCE AND GROUP OPERATIONS,IRON MOUNTAIN UK LTD,639931," 64,165.92 ",,EH54 5DL,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Revenue Grants to local authorities,GLOBAL AND PUBLIC HEALTH,ISLINGTON LONDON BOROUGH COUNCIL,ERS-647497-198510," 727,401.00 ",,EC1V 7LQ,PUBLIC,,,,,
Department of Health and Social Care,Department of Health and Social Care,22/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,JASON OFFSHORE EQUIPMENT CO LTD,663752567," 717,456.19 ",PPE - Aprons,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,19/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,JASON OFFSHORE EQUIPMENT CO LTD,662954253," 2,893,295.27 ",PPE - Aprons,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,08/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,JIGSAW SYSTEMS LTD TA JIGSAW24 LTD,I1272019," 26,085.60 ",,NG7 7JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,IT minor costs non capital,GLOBAL AND PUBLIC HEALTH,JIGSAW SYSTEMS LTD TA JIGSAW24 LTD,1283389," 2,710.66 ",,NG7 7JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,IT minor costs non capital,GLOBAL AND PUBLIC HEALTH,JIGSAW SYSTEMS LTD TA JIGSAW24 LTD,1283389," 66,202.56 ",,NG7 7JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,29/10/2020,IT minor costs non capital,GLOBAL AND PUBLIC HEALTH,JIGSAW SYSTEMS LTD TA JIGSAW24 LTD,1283389, 0.02 ,,NG7 7JA,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,28/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,JOBEC PTE LTD,665137269," 80,000.00 ",Bridge Flights ,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,JOBEC PTE LTD,658488679," 80,000.00 ",Bridge Flights ,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,13/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,JOBEC PTE LTD,661723182," 336,000.00 ",AIR BRIDGE FLIGHTS ,,LARGE,,,,,
Department of Health and Social Care,Department of Health and Social Care,01/10/2020,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,JOBEC PTE LTD,658488679," 80,000.00 ",,RH10 1UH,PUBLIC,,,,,
